SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50901,3,8,8,6,4,11,3,0,0,44,3,6,14,9,6,3,4,0,0,44,45,80,156,122,151,137,36,3,0,728
SSC50902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,11,10,3,4,0,43
SSC50903,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,9,23,9,10,7,0,0,71
SSC50904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,13
SSC50906,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,8,24,22,23,14,0,0,107
SSC50907,3,29,92,49,29,25,6,0,0,232,5,24,97,60,41,38,8,0,0,282,140,660,2715,1612,1022,704,191,20,0,7064
SSC50908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,3,0,0,0,26
SSC50909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,19
SSC50910,6,17,21,26,24,11,6,0,0,98,4,9,17,9,15,12,0,3,0,67,137,167,422,356,326,227,38,12,3,1672
SSC50911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50912,7,15,40,21,26,15,0,0,0,124,3,10,29,25,22,14,3,0,0,113,210,345,803,739,755,427,68,12,0,3360
SSC50913,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,4,17,20,17,31,9,0,0,104
SSC50914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,0,0,16
SSC50915,0,6,3,11,5,3,6,0,0,29,0,7,8,11,15,7,3,0,0,49,41,107,169,196,176,134,28,3,0,851
SSC50916,0,0,0,0,0,3,0,0,0,8,0,0,0,8,6,0,0,0,0,23,3,12,82,59,65,56,17,0,0,296
SSC50917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8
SSC50918,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,8,21,31,22,13,3,0,96
SSC50919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,3,3,0,0,17
SSC50920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,8,17,14,3,6,0,60
SSC50921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50922,5,10,27,12,29,19,4,3,0,105,10,7,18,45,19,25,0,3,0,120,156,229,477,677,713,429,95,14,3,2796
SSC50923,0,0,0,3,4,4,3,3,0,22,0,4,3,0,9,8,4,0,0,33,63,94,91,156,276,202,56,16,3,955
SSC50924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,6,3,5,5,0,0,34
