SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC51395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,3,0,3,3,0,3,3,0,0,3,0,3,4,0,7,3,0,3,0,0,0,4,0,4,3,0,3,3,0,3,3,0,3,36,6,45
SSC51396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51397,5,0,5,3,3,7,7,7,13,3,12,11,7,13,26,13,10,26,36,12,45,45,7,52,46,14,64,35,9,46,36,11,46,40,3,45,76,8,85,73,4,79,42,0,42,24,3,26,72,0,75,104,0,104,10,7,15,685,119,812
SSC51398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51399,5,0,5,0,0,0,0,3,3,0,3,3,12,3,13,5,3,8,20,0,17,13,5,16,18,9,21,22,0,22,15,0,22,27,3,34,48,5,53,37,0,37,20,0,16,8,0,13,35,0,35,60,4,63,3,0,3,344,42,382
SSC51400,4,0,4,0,0,0,3,0,3,0,3,3,5,3,3,0,3,3,10,3,9,11,0,10,11,3,15,16,0,16,14,3,16,14,0,13,23,0,23,19,0,19,13,0,13,18,0,15,17,0,17,34,0,34,3,0,3,204,20,225
SSC51401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
SSC51402,3,10,18,3,0,4,12,14,27,7,32,38,25,49,71,36,27,63,51,22,79,64,34,98,70,50,112,88,32,118,66,28,89,70,15,80,127,21,143,58,3,61,26,0,26,13,3,17,16,0,16,95,5,96,9,20,28,834,354,1195
SSC51403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51404,0,0,0,0,0,0,0,8,8,0,3,3,4,0,4,9,0,9,0,0,0,8,0,8,0,0,0,5,0,5,3,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,3,0,3,55,15,63
SSC51405,25,58,82,5,25,24,8,68,76,6,118,129,25,137,167,22,72,95,53,75,130,54,85,135,112,130,238,103,103,209,68,104,178,79,107,185,234,200,431,199,18,218,157,14,166,224,180,404,589,36,630,233,59,291,21,49,64,2224,1639,3859
SSC51406,13,22,34,14,6,21,17,23,43,10,27,38,36,63,99,52,48,103,114,41,156,90,51,146,149,81,237,155,73,231,157,54,209,181,49,232,400,66,468,293,7,300,217,3,225,171,14,184,249,7,256,314,18,340,22,25,42,2663,683,3342
SSC51407,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,0,6,0,6,0,0,0,16,4,27
SSC51408,3,3,4,0,0,4,0,4,5,3,14,16,13,33,43,15,11,22,36,15,46,19,9,26,33,10,42,27,5,33,27,3,30,32,3,35,56,10,67,41,0,41,13,0,13,10,0,10,23,0,23,63,7,69,9,3,7,416,125,545
SSC51409,20,32,52,7,16,23,21,52,71,26,81,102,55,163,217,47,72,116,160,50,210,120,80,198,169,90,258,181,57,232,146,48,199,155,26,180,269,37,306,177,4,174,87,3,91,81,12,92,116,0,119,276,19,294,31,37,73,2146,876,3020
SSC51410,12,9,14,5,5,13,8,3,10,4,11,21,6,33,42,4,26,33,9,20,27,13,28,38,42,19,53,33,14,47,22,10,37,34,10,44,84,20,103,86,4,84,61,6,62,92,28,125,373,8,378,134,6,148,10,19,27,1033,279,1312
SSC51411,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,3,7,0,8,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,31
SSC51412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,4,3,3,0,7,4,0,4,0,0,0,3,0,3,4,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,0,0,0,36,11,42
SSC51414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC51415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC51416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51419,0,0,0,0,0,0,3,4,3,0,3,3,4,3,10,3,6,5,9,0,12,9,3,8,5,3,12,7,0,12,7,0,7,3,0,3,6,0,4,0,0,0,5,0,5,0,0,0,3,0,3,11,0,11,10,6,14,82,32,110
SSC51420,0,0,0,0,0,0,0,0,0,0,4,4,3,9,14,3,0,3,3,0,0,11,3,14,4,0,4,3,3,6,4,0,4,3,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,7,0,3,3,37,36,74
SSC51421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51422,0,0,0,4,3,11,10,3,12,0,0,0,9,0,9,0,0,0,3,0,3,5,3,3,3,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,3,0,5,47,14,59
SSC51423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,3,8
SSC51424,13,12,25,8,3,13,15,10,29,6,16,19,31,52,91,30,51,80,103,25,131,78,24,104,134,35,167,136,20,156,153,39,188,164,18,180,413,31,448,301,3,309,203,0,205,164,13,172,238,5,240,329,13,336,26,16,40,2535,390,2924
SSC51425,0,5,6,3,0,0,3,4,6,7,8,16,7,9,15,11,10,16,22,13,27,20,9,25,13,17,30,18,8,32,8,9,20,23,0,31,46,17,61,39,3,42,33,0,33,14,3,18,48,0,48,49,4,56,11,0,9,370,120,489
SSC51426,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9
SSC51427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,14
SSC51428,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,5,0,0,3,0,4,4,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,28,10,29
SSC51429,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,4,6,0,6,0,0,3,4,0,4,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,11,0,11,4,0,7,45,10,50
SSC51430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
SSC51431,0,3,3,0,0,0,0,0,0,0,4,7,0,4,5,3,3,7,11,0,11,9,0,11,5,0,11,3,0,3,4,0,4,0,0,0,5,0,5,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,4,68,17,89
SSC51432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,14,3,18
SSC51433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,10,3,12
SSC51434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51435,18,6,26,5,5,10,4,3,3,3,13,13,22,19,38,21,13,35,33,8,41,51,14,62,77,15,94,48,22,79,54,9,60,65,10,74,195,22,215,129,3,132,118,0,121,109,7,119,224,0,224,179,4,183,7,7,17,1364,196,1557
SSC51436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,21,6,30
SSC51437,68,58,133,29,22,52,50,85,134,29,127,161,169,294,456,164,129,288,460,124,589,351,172,525,564,170,735,494,150,641,420,110,533,407,61,467,856,88,947,553,18,573,355,6,367,220,27,247,306,12,319,660,40,708,83,70,154,6232,1786,8014
SSC51438,0,3,3,4,0,5,0,4,4,0,3,3,5,17,21,0,3,0,11,0,11,9,6,12,6,6,16,9,3,8,6,5,13,12,0,12,3,3,6,3,0,3,4,0,4,3,0,3,0,0,0,12,0,12,3,3,3,93,57,149
SSC51439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,3,0,3,0,0,0,0,0,0,9,0,9,0,0,0,22,4,26
SSC51440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16
