SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC50987,0,0,0,0,6,0,14,10,0,33,0,0,0,0,0,0,0,5,0,7,6,15,24,22,30,25,10,15,0,145,22,74,116,93,127,89,47,48,9,629
SSC50988,4,5,39,62,81,135,248,295,118,992,0,6,22,22,37,47,46,59,22,255,64,103,228,188,160,167,173,133,84,1296,553,1514,3716,2901,2687,2353,2028,1248,424,17420
SSC50989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,3,0,5,7,4,4,3,0,0,28
SSC50990,3,3,5,0,3,9,14,21,11,71,0,0,3,3,0,3,4,4,0,24,19,23,139,70,103,93,122,81,56,711,222,479,1181,1059,1293,1028,932,453,182,6825
SSC50991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,13,11,3,5,0,3,0,33
SSC50992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9
SSC50993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50994,0,3,9,7,4,9,27,33,16,111,0,3,8,11,3,6,3,0,0,28,15,14,23,29,47,40,48,30,21,256,93,120,232,322,389,426,331,171,77,2161
SSC50995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11
SSC50996,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,8,12,4,3,4,0,56
SSC50997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,11
SSC50998,0,0,3,0,3,3,7,14,15,47,0,0,0,0,0,3,0,0,0,7,9,8,16,34,37,38,35,38,32,242,163,276,289,518,698,626,478,307,144,3497
SSC50999,0,0,0,3,3,3,7,5,3,25,0,0,0,0,0,0,0,0,0,0,5,3,0,6,4,3,5,8,11,50,22,20,65,58,90,91,78,44,26,490
SSC51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,8,12,16,15,5,0,78
SSC51001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SSC51002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,3,3,3,5,0,0,26
SSC51003,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,15,11,40,36,23,10,5,140
SSC51004,0,0,3,0,3,0,3,0,0,12,0,0,0,0,0,3,10,4,0,20,6,4,4,7,11,3,7,0,0,42,32,41,82,57,44,25,22,4,0,298
SSC51005,3,3,4,5,3,19,46,67,46,189,0,3,0,0,5,3,13,14,7,44,9,22,55,57,46,28,40,23,12,299,138,383,1091,1334,1155,766,409,188,108,5571
SSC51006,0,0,3,6,3,13,18,15,8,62,0,0,0,0,0,0,3,0,0,10,14,9,28,16,22,31,22,11,5,160,103,157,341,409,498,457,289,103,27,2391
SSC51007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,11,0,0,0,6,14,6,9,3,0,31
SSC51008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,3,0,0,0,0,23
SSC51010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51011,0,3,4,3,4,23,61,86,68,250,0,0,9,4,10,0,8,25,7,57,45,92,247,134,108,86,114,83,129,1037,291,925,2259,1528,1444,1284,857,403,329,9323
SSC51012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,6,5,0,0,0,23
SSC51014,0,0,0,4,0,9,8,3,0,14,0,0,0,0,0,0,0,0,0,3,7,7,13,18,20,23,24,0,0,107,15,21,57,60,65,78,65,6,0,369
SSC51015,0,0,3,3,0,3,9,12,8,38,0,0,0,0,0,3,0,4,0,5,0,0,14,4,5,10,19,10,8,66,29,78,136,136,143,183,114,50,28,904
SSC51016,0,0,0,3,6,10,9,12,9,49,0,0,0,0,0,0,0,7,0,15,15,7,18,27,19,30,27,12,4,155,92,187,333,337,458,470,301,170,38,2396
SSC51017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC51018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
