SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC50055,2305,6141,2078,4825,139,318,2214,5144,111,207,0,0,0,0,3,3,113,207,0,0,0,0,0,0,0,0,0,0,16,40,4646,11536,563,..,5204,11536
SSC50056,221,463,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,5,8,8,236,480,88,..,323,480
SSC50057,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,3,..,17,28
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,..,0,3
SSC50059,28,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,60,9,..,37,60
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50061,5688,17360,297,563,38,67,330,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6022,17992,392,..,6414,17992
SSC50062,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,..,8,25
SSC50063,38,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,36,62,9,..,48,62
SSC50064,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,6,..,26,39
SSC50065,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,4,..,22,38
SSC50066,95,250,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,0,7,3,3,98,262,27,..,124,262
SSC50067,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,0,..,12,73
SSC50068,634,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,3,636,1937,150,..,792,1937
SSC50069,2731,8269,255,536,8,21,265,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,3001,8830,193,..,3191,8830
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50071,20,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,21,..,39,55
SSC50072,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,..,9,14
SSC50073,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,22,8,..,17,22
SSC50074,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,9,..,15,21
SSC50075,280,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,280,863,46,..,324,863
SSC50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,..,0,3
SSC50077,87,253,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,10,95,261,23,..,117,261
SSC50078,3087,7895,622,1155,118,261,741,1417,171,255,19,32,34,46,0,0,223,330,0,0,0,3,0,0,3,3,3,3,12,16,4064,9665,450,..,4510,9665
SSC50079,1065,3161,130,275,34,87,169,368,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,19,1238,3555,101,..,1346,3555
SSC50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50081,1104,3580,19,33,0,0,19,33,15,40,0,0,24,46,0,0,42,87,7,7,0,13,0,0,0,0,4,17,0,0,1174,3715,219,..,1388,3715
SSC50082,1031,2663,0,9,10,23,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,2686,180,..,1235,2686
SSC50083,4387,11126,910,1583,97,246,1012,1831,119,213,77,154,0,0,0,0,201,365,0,0,0,0,0,0,3,4,3,7,11,28,5612,13362,659,..,6264,13362
SSC50084,472,1078,128,163,9,14,135,171,4,9,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,3,612,1268,121,..,734,1268
SSC50085,54,136,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,58,140,48,..,102,140
SSC50086,1459,3694,283,510,129,300,413,812,21,23,53,81,0,0,0,0,69,105,0,0,0,0,0,5,0,0,0,5,11,17,1953,4638,290,..,2244,4638
SSC50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50088,25,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,3,..,29,58
SSC50089,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,11,..,24,34
SSC50090,2232,6207,258,642,81,205,338,848,19,50,20,53,0,0,0,0,43,98,0,0,0,0,0,0,0,5,0,5,3,13,2622,7168,334,..,2960,7168
SSC50091,1749,4520,237,510,20,43,254,553,10,19,0,4,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,3,2016,5100,208,..,2228,5100
SSC50092,852,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,12,858,2660,61,..,923,2660
SSC50093,2770,8011,244,451,12,18,254,468,37,41,0,0,0,0,0,0,35,41,0,0,0,0,0,0,0,0,0,0,3,6,3069,8535,250,..,3321,8535
SSC50094,47,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,52,146,0,..,52,146
SSC50095,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,3,..,21,28
SSC50096,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,3,..,13,29
SSC50097,35,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,42,105,4,..,47,105
SSC50098,2246,6700,106,199,28,48,133,246,50,69,11,18,0,0,0,0,57,83,0,0,0,0,0,0,0,0,0,0,4,13,2440,7044,256,..,2693,7044
SSC50099,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,17,..,24,20
SSC50100,34,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,43,109,17,..,59,109
SSC50101,67,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,161,18,..,87,161
SSC50102,1356,3557,79,150,3,9,87,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1447,3721,162,..,1604,3721
SSC50103,82,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,88,251,11,..,95,251
SSC50104,535,1255,54,115,0,0,54,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,6,15,0,0,601,1385,65,..,658,1385
SSC50105,1962,4850,304,626,166,375,466,1000,58,108,0,0,21,44,0,0,84,157,0,0,0,0,0,0,3,12,3,12,6,17,2524,6028,389,..,2906,6028
SSC50106,92,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,92,211,36,..,128,211
SSC50107,67,178,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,72,187,13,..,84,187
SSC50108,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,..,8,15
SSC50109,47,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,128,9,..,65,128
SSC50110,1349,4817,75,232,7,11,81,238,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,4,0,4,0,11,1433,5082,77,..,1510,5082
SSC50111,1103,2907,1070,2619,338,879,1411,3497,280,429,44,65,207,261,0,0,531,748,0,0,0,0,0,0,0,3,0,3,25,66,3062,7225,672,..,3737,7225
SSC50112,439,1045,47,79,25,43,67,129,34,64,15,26,0,0,0,0,48,90,0,5,0,0,0,0,0,0,0,3,3,7,564,1270,156,..,720,1270
SSC50113,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,5,..,13,26
SSC50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50115,1840,5855,15,39,15,23,30,65,8,12,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,3,1882,5937,179,..,2061,5937
SSC50116,440,942,3,3,0,0,3,3,14,20,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,3,11,457,973,92,..,556,973
SSC50117,1832,5079,316,445,35,53,350,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2182,5580,191,..,2376,5580
SSC50118,221,615,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,3,9,0,0,3,9,3,3,223,631,18,..,245,631
SSC50119,1604,4262,693,1234,156,354,846,1586,142,170,19,21,3,4,0,0,167,201,0,0,0,0,0,0,0,0,0,0,13,28,2626,6069,340,..,2967,6069
SSC50120,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,..,4,12
SSC50121,41,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,21,24,0,0,0,0,43,55,3,5,88,172,4,..,96,172
SSC50122,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,5,..,8,19
SSC50123,354,1079,6,16,0,0,5,18,29,72,0,0,0,0,0,0,29,72,3,4,0,0,0,0,17,45,21,49,13,30,424,1248,46,..,471,1248
SSC50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50125,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,20,58,6,..,30,58
SSC50126,394,955,0,3,0,0,0,3,13,30,0,0,0,0,0,0,18,30,0,0,0,0,0,0,0,0,0,0,3,11,419,997,103,..,519,997
SSC50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50128,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,..,0,7
SSC50129,455,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,452,1133,215,..,670,1133
SSC50130,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,54,9,..,27,54
SSC50131,23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,73,0,..,28,73
SSC50132,367,861,106,169,31,69,138,239,7,9,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,3,515,1114,86,..,603,1114
SSC50133,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,60,3,..,32,60
SSC50134,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43,5,..,22,43
SSC50135,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,4,..,14,23
SSC50136,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,21,44,6,..,29,44
SSC50137,388,1005,13,27,0,0,13,27,13,15,0,0,0,0,0,0,13,15,4,9,0,3,0,0,0,0,10,8,3,0,419,1052,109,..,527,1052
SSC50138,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,..,12,24
