SSC_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SSC50442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,0,0,0,0,0,0,21,14,34
SSC50443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,8,3,7
SSC50444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,6,7
SSC50445,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,60,50,112,5,4,15,3,0,3,0,0,0,0,4,3,0,0,0,13,16,23,90,73,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,18,29,18,40,4,0,6,123,101,231
SSC50446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,5,8,0,0,0,16,10,25
SSC50447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC50448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,14,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,3,0,0,0,23,9,32
SSC50449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,7,20,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,14,0,0,4,0,0,0,32,25,57
SSC50450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,17,12,29
SSC50451,0,0,0,31,10,38,0,0,0,0,0,0,5,4,6,591,563,1155,49,50,100,10,0,10,3,5,9,22,11,29,4,3,12,21,18,35,738,659,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,3,3,4,7,9,17,12,15,25,0,0,0,3,0,3,0,0,0,3,0,3,10,23,34,72,114,183,10,3,17,845,817,1657
SSC50452,76,101,180,31,31,59,0,0,0,0,0,0,8,0,8,1013,652,1668,39,80,124,23,0,24,6,0,5,10,0,15,26,5,32,12,7,25,1254,880,2137,12,39,46,0,0,0,0,0,0,10,8,23,0,3,6,3,0,7,26,49,82,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,11,12,12,7,24,43,71,114,9,10,20,0,0,0,0,0,0,6,10,19,17,28,42,106,129,231,19,5,25,1443,1126,2572
SSC50453,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,140,123,263,10,8,16,4,0,4,5,3,7,8,4,11,6,0,8,3,12,13,185,151,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,23,11,15,31,0,0,3,206,183,388
SSC50454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,13,10,19
SSC50455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SSC50456,37,34,67,73,49,123,0,3,3,0,0,0,7,4,12,1186,1166,2347,44,77,125,8,0,8,25,3,24,61,22,86,27,15,44,44,57,104,1522,1429,2942,26,15,38,0,0,0,0,0,0,10,14,25,6,3,10,11,0,11,47,26,74,0,0,0,0,0,0,6,6,11,0,0,5,0,0,0,8,7,17,17,4,26,74,42,115,7,7,15,0,0,0,0,0,0,4,11,14,104,165,272,144,197,342,13,15,23,1857,1859,3720
SSC50457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,0,0,0,0,0,0,16,12,29
SSC50459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
SSC50461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,3,0,0,0,8,8,12
SSC50462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,3,3,7
SSC50463,94,78,172,684,655,1342,3,0,3,0,0,3,13,14,32,1259,803,2062,82,141,223,4,0,3,17,9,28,71,30,99,63,10,74,467,374,844,2758,2118,4880,61,77,141,0,0,0,0,0,0,3,3,6,3,0,7,6,0,8,76,83,158,0,0,0,0,0,0,13,3,23,4,6,13,14,7,22,37,22,56,11,9,20,119,115,236,11,13,19,10,3,11,4,0,6,21,16,39,98,89,193,230,257,484,39,28,68,3268,2621,5888
SSC50464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,60,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,6,10,40,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,20,44,3,8,9,0,0,0,76,59,135
SSC50465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,6,5,9
SSC50466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,31,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,3,10,0,0,0,32,20,52
SSC50467,82,72,152,274,283,559,0,0,0,0,0,0,6,3,9,1661,1409,3072,95,132,226,16,0,11,22,3,26,92,34,130,38,18,55,75,91,163,2351,2050,4403,28,44,76,0,0,0,0,0,0,9,8,22,0,0,0,7,0,3,45,60,104,0,0,0,0,0,0,4,6,14,6,8,12,6,5,11,13,15,31,18,10,26,80,84,164,16,6,19,0,3,3,0,0,0,13,7,22,77,101,172,162,287,449,34,11,50,2712,2547,5263
SSC50468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,13,11,23
SSC50469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,19
SSC50470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,38,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,10,15,36,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,3,3,9,0,0,0,43,31,79
SSC50471,3,0,0,78,17,93,0,0,0,0,0,0,0,0,0,1363,1209,2572,151,94,243,18,0,18,11,0,11,10,3,14,33,0,36,17,33,54,1677,1358,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,0,4,4,6,0,6,7,7,14,24,12,30,36,17,53,0,0,0,0,0,3,0,0,0,0,3,3,21,49,66,224,261,482,13,21,39,1981,1706,3686
SSC50472,17,33,53,19,17,33,0,0,0,0,0,0,0,0,4,578,495,1073,22,40,58,16,0,16,5,0,5,21,3,29,8,4,11,4,8,14,699,595,1297,16,19,33,0,0,0,0,0,0,3,7,7,0,5,7,5,4,6,22,32,55,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,7,0,10,31,40,70,0,3,6,0,0,0,0,0,0,0,3,6,16,26,42,52,87,139,13,12,17,815,762,1574
SSC50473,79,76,152,29,14,38,0,0,0,0,0,0,0,0,3,771,730,1501,38,55,95,22,0,22,20,0,20,14,4,21,17,9,25,15,17,33,1005,899,1899,25,18,44,0,0,0,0,0,0,9,14,20,5,3,5,6,0,6,48,31,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,54,35,94,5,0,9,0,0,0,0,0,0,6,0,6,30,59,92,91,142,233,14,9,29,1206,1150,2353
SSC50474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,0,0,0,16,10,28
SSC50475,14,15,33,14,3,14,0,0,0,0,0,0,0,0,0,322,295,617,15,19,34,6,0,6,3,0,3,0,0,0,13,0,12,11,4,15,391,343,735,9,10,21,0,0,0,0,0,0,9,8,17,0,0,3,0,0,0,18,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,23,24,50,6,4,7,0,0,0,0,0,0,4,9,10,4,9,11,45,49,92,3,9,12,477,441,916
SSC50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,4,0,4,0,0,0,0,0,0,0,0,0,3,6,11,13,11,17,24,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,33,20,48
SSC50477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,14
SSC50478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,6,4,6
SSC50479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,39,0,3,3,3,0,3,0,0,3,0,0,0,0,0,3,0,3,7,29,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,5,12,0,0,3,43,31,67
SSC50480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,69,143,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,68,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,7,19,31,0,0,3,99,97,189
SSC50481,20,41,55,167,84,245,0,0,0,0,0,0,16,3,23,3862,3370,7237,243,248,492,70,3,68,41,0,41,26,4,31,141,36,180,71,83,148,4659,3874,8528,59,62,119,0,0,0,0,0,0,58,74,131,10,5,16,0,0,0,122,143,266,0,0,0,0,0,0,5,10,15,3,14,17,6,0,6,19,19,44,56,15,78,201,186,387,11,20,32,4,0,5,3,0,4,18,22,41,77,212,286,485,561,1044,39,26,62,5476,4878,10357
SSC50482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,8,3,11
SSC50483,9,12,21,50,60,111,0,0,0,0,0,0,0,0,0,551,408,961,24,44,72,8,0,8,6,3,12,13,7,20,13,3,21,11,11,25,692,555,1249,13,16,25,0,0,0,0,0,0,4,14,18,0,5,3,0,0,0,18,29,45,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,7,3,13,0,0,4,31,38,66,3,3,8,0,0,0,0,0,0,3,3,8,15,16,29,51,65,110,13,10,24,802,683,1487
SSC50484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,14
SSC50485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,56,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,10,29,34,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,14,0,0,0,39,43,86
SSC50486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,28,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,25,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,4,0,0,0,31,23,56
SSC50487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
SSC50489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,7
SSC50490,5,15,22,39,4,42,0,0,0,0,0,0,0,0,0,436,439,876,34,24,56,15,0,15,9,0,9,6,3,9,23,3,27,18,12,30,585,502,1091,4,4,7,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,6,13,15,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,13,0,15,21,15,33,8,3,12,0,0,0,0,0,0,9,4,9,18,36,62,79,102,181,20,5,26,738,666,1406
SSC50491,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,291,249,543,23,19,44,3,0,3,7,0,11,9,0,12,3,3,9,26,44,74,376,322,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,13,15,25,38,48,91,3,8,13,434,399,831
SSC50492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,12,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,16,14,31
SSC50494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC50495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,4,0,3,0,0,0,9,8,18
SSC50496,0,0,0,15,5,22,0,0,0,0,0,0,0,0,0,391,329,718,39,31,63,18,0,18,7,8,15,34,36,70,17,5,23,48,60,109,572,477,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,21,9,10,19,0,0,0,0,0,0,0,0,0,0,0,0,18,34,50,99,90,184,19,11,28,705,625,1327
