SSC_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SSC50271,0,0,0,0,0,0,0,0,0,0,0,3,9,13,3,8,0,0,0,30,0,4,11,19,9,12,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50272,3,0,7,9,3,4,0,0,0,28,62,72,177,194,180,126,43,0,0,850,9,8,30,29,22,23,17,0,4,144,0,3,9,26,18,10,5,0,0,69,7,11,28,11,12,8,5,0,0,81,0,0,9,3,7,3,0,0,0,23,13,13,41,28,30,27,11,0,0,157,8,0,13,19,10,11,0,0,0,68,39,25,25,33,47,17,3,0,0,189,33,19,20,16,27,8,0,0,0,114,0,10,37,43,48,37,18,0,0,189,0,0,3,3,0,0,0,0,0,13,0,4,7,9,13,5,3,0,0,40,3,3,0,10,3,0,0,0,0,21,0,3,15,7,13,16,8,0,0,61,0,6,17,3,8,8,3,0,0,46,0,4,21,28,30,15,5,0,0,108,3,10,28,58,41,32,8,0,0,174,3,12,30,33,32,43,7,0,0,161,3,0,3,3,3,3,3,0,0,21
SSC50273,0,0,0,0,6,3,0,0,0,9,30,19,14,27,61,32,3,0,0,192,0,0,0,4,0,3,0,0,0,9,0,3,3,3,4,0,0,0,0,20,3,4,0,0,13,14,0,0,0,36,0,0,0,0,3,3,0,0,0,7,0,8,3,14,20,10,0,0,0,61,0,0,0,4,3,0,0,0,0,10,11,9,3,3,7,3,0,0,0,39,14,3,0,0,0,0,0,0,0,16,0,0,0,5,11,3,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,11,0,0,0,0,3,3,0,0,0,5,0,0,0,3,6,3,0,0,0,20,0,0,0,3,5,3,0,0,0,12,0,0,0,0,10,5,0,0,0,16,0,3,3,11,10,5,0,0,0,34,3,3,8,4,9,4,3,0,0,30,0,0,0,0,0,0,0,0,0,3
SSC50274,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50275,0,0,0,0,3,0,0,0,0,3,0,0,4,12,10,12,5,0,0,48,0,0,3,6,7,5,12,0,0,38,0,0,0,0,8,6,0,0,0,15,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC50276,0,3,16,6,6,3,0,0,0,36,40,129,441,323,223,122,21,3,0,1304,0,3,3,7,13,8,9,4,0,39,3,17,74,36,28,4,0,0,0,154,8,12,44,54,38,27,6,0,0,190,0,0,13,12,6,4,0,0,0,35,4,20,111,59,33,28,4,0,0,264,4,5,30,27,21,7,3,0,0,91,20,49,77,44,24,24,5,0,0,250,30,41,46,27,20,12,0,0,0,170,3,6,41,55,40,21,0,0,0,169,4,6,8,13,4,0,0,0,0,27,0,6,31,20,13,3,0,0,0,79,0,4,15,11,7,4,3,0,0,41,0,5,52,45,26,10,3,0,0,144,0,9,30,28,25,19,4,0,0,110,0,8,69,55,27,25,3,0,0,189,3,11,49,47,36,27,0,0,0,172,4,26,137,93,72,37,7,0,0,382,4,7,13,9,3,3,0,0,0,45
SSC50277,0,3,3,0,0,0,0,0,0,3,8,12,24,21,27,28,4,0,0,132,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,3,0,12,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,11,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,9,8,4,3,9,0,0,0,33,0,3,13,3,8,4,0,0,0,30,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,9,0,3,3,3,0,0,3,0,0,17,0,0,11,3,7,13,0,0,0,35,0,4,0,0,0,0,0,0,0,3
SSC50278,0,0,0,0,0,0,0,0,0,7,3,9,23,13,23,24,7,0,0,100,0,7,7,6,13,3,7,0,0,49,0,0,0,3,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,5,3,0,0,0,14,3,4,11,10,9,8,0,0,0,39,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,3,0,0,8,0,0,3,0,5,3,4,0,0,17,0,0,3,0,0,0,0,0,0,8,0,0,3,3,0,4,0,0,0,8
SSC50279,0,0,0,0,0,0,0,0,0,3,4,3,3,5,14,4,3,0,0,37,0,0,0,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
SSC50280,0,0,3,0,0,0,0,0,0,4,14,28,63,43,52,49,3,0,0,249,0,3,0,3,3,5,0,0,0,12,0,0,6,4,9,0,0,0,0,21,0,6,12,6,11,11,0,0,0,41,0,0,3,3,0,0,0,0,0,5,0,7,9,8,22,4,3,0,0,58,0,3,7,5,3,0,0,0,0,24,3,11,6,4,9,9,0,0,0,39,11,5,4,6,4,0,0,0,0,26,0,3,9,7,11,12,0,0,0,39,0,0,4,0,0,4,0,0,0,10,0,0,3,0,0,0,0,0,0,5,0,0,3,0,3,3,0,0,0,13,0,0,11,6,5,4,0,0,0,36,0,0,3,3,3,3,3,0,0,17,0,3,8,9,4,7,0,0,0,31,0,0,12,5,14,16,0,0,0,52,0,3,17,18,14,17,0,0,0,73,0,3,0,0,0,0,0,0,0,5
SSC50281,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,9,0,3,0,0,3,3,4,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50283,0,0,0,0,0,0,0,0,0,0,3,0,4,3,9,13,0,0,0,40,0,7,8,4,4,11,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC50284,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,4,6,0,0,18,0,0,0,5,6,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50285,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC50286,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,14,0,0,0,3,0,8,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC50287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50289,0,0,0,6,9,0,0,0,0,19,22,30,57,84,127,102,16,3,0,440,0,0,0,0,3,0,0,0,0,9,0,3,15,8,23,8,0,0,0,60,10,7,6,15,17,19,3,0,0,77,0,0,0,0,5,0,0,0,0,6,0,12,18,12,23,15,0,0,0,91,0,0,3,8,10,10,0,0,0,32,11,9,16,16,17,14,3,0,0,84,12,8,4,7,4,3,0,0,0,34,0,0,7,12,8,12,6,0,0,34,0,0,0,0,4,0,0,0,0,3,0,0,5,0,0,0,0,0,0,6,0,3,7,7,7,3,3,0,0,25,0,0,5,3,10,8,0,0,0,34,0,3,7,8,7,9,3,0,0,36,3,3,7,7,41,31,4,0,0,95,0,0,0,10,23,28,8,0,0,74,0,7,8,18,26,26,3,0,0,94,0,0,3,3,4,0,0,0,0,7
SSC50290,0,0,0,4,3,0,0,0,0,12,3,13,27,47,52,37,9,0,0,194,0,0,6,10,8,7,9,0,0,44,0,0,11,11,13,3,0,0,0,33,3,3,4,3,12,9,0,0,0,35,0,0,0,0,0,0,0,0,0,0,3,4,8,13,19,9,3,0,0,53,0,0,3,4,0,3,0,0,0,6,4,6,3,7,5,3,0,0,0,36,0,0,3,5,3,3,0,0,0,9,0,0,3,12,14,5,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,0,0,0,4,3,0,0,0,0,4,0,3,4,10,5,7,0,0,0,27,0,0,0,3,4,3,0,0,0,10,0,0,3,9,8,7,0,0,0,26,0,0,8,3,9,15,0,0,0,32,0,0,7,3,3,7,0,0,0,22,0,0,0,3,0,0,0,0,0,4
SSC50291,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,7,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50292,0,3,0,6,8,6,4,0,0,27,40,72,171,197,182,136,34,4,0,836,0,0,0,3,0,0,4,0,0,8,0,0,9,27,22,16,0,0,0,79,3,4,12,22,10,8,6,0,0,58,0,0,0,5,4,4,0,0,0,21,0,4,16,28,17,21,0,0,0,91,0,0,11,12,9,3,0,0,0,41,22,33,28,25,23,20,6,0,0,155,20,24,22,7,11,6,7,0,0,94,0,4,12,8,11,4,3,0,0,35,3,0,3,11,5,10,4,0,0,36,0,5,10,18,25,8,4,0,0,73,4,0,5,4,7,11,5,0,0,31,0,11,49,52,53,34,12,0,0,209,0,3,4,8,10,5,0,3,0,38,0,6,20,17,17,19,4,0,0,80,8,16,26,37,52,52,7,3,0,197,0,18,60,77,60,44,9,0,0,270,0,3,8,3,10,3,0,0,0,30
SSC50293,16,9,0,9,14,8,4,0,0,62,121,151,108,227,410,225,64,23,0,1343,0,3,0,0,13,4,3,3,0,33,0,4,14,42,76,36,5,3,0,178,8,3,9,7,31,11,5,3,0,79,0,0,0,3,6,3,0,0,0,20,6,16,29,34,60,31,7,3,0,182,0,3,4,3,13,18,3,3,0,50,59,67,12,30,49,33,3,8,0,256,55,45,15,14,17,11,4,0,0,165,0,4,5,11,25,9,6,0,0,58,0,3,5,3,5,9,0,0,0,29,0,8,3,22,49,24,3,3,3,124,0,4,8,10,38,19,17,7,0,96,5,28,39,71,137,98,28,9,0,427,0,3,3,19,26,8,3,3,0,64,3,0,20,14,29,25,3,0,0,104,19,27,22,49,97,72,14,4,0,308,14,31,29,81,148,105,34,8,0,460,18,16,5,9,15,6,0,0,0,71
SSC50294,0,0,0,0,0,0,0,0,0,0,0,3,13,11,10,16,3,0,0,55,0,0,3,0,0,0,0,3,0,4,0,3,5,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,8,3,0,0,0,12,0,0,0,0,0,8,0,0,0,9,0,0,3,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,3,6,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,4,3,0,0,0,10,0,0,0,0,0,3,0,0,0,9,0,0,3,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0
SSC50295,4,6,16,17,11,4,7,0,0,74,66,172,378,293,369,280,125,16,0,1704,0,4,3,3,4,8,15,3,0,44,0,0,49,48,56,27,4,0,0,187,3,6,16,26,18,15,3,0,0,90,0,0,0,8,0,7,0,0,0,20,3,17,39,32,30,24,13,5,0,159,8,4,8,7,12,13,3,0,0,63,29,76,64,37,40,26,21,6,0,305,38,71,44,11,11,16,7,0,0,194,0,6,23,16,13,14,5,3,0,72,0,6,11,6,12,0,3,0,0,40,0,4,41,21,42,24,16,0,0,144,0,7,23,18,16,17,21,0,0,114,6,35,130,109,114,75,52,15,0,528,3,3,16,14,14,23,8,3,0,84,0,4,35,27,29,35,16,0,0,148,25,36,79,73,111,97,43,4,0,470,3,26,127,84,153,114,50,8,3,572,8,15,17,7,11,10,3,3,0,66
SSC50296,6,9,41,20,24,18,0,0,0,114,209,367,860,634,619,299,57,3,0,3042,0,9,19,9,9,10,3,0,0,64,0,13,95,99,64,30,3,0,0,305,8,33,80,71,59,40,5,0,0,294,0,3,26,16,13,8,0,0,0,72,28,93,300,171,133,58,15,0,0,801,3,13,42,46,43,22,0,0,0,157,102,148,204,138,134,62,13,3,0,802,126,106,102,48,47,17,0,0,0,457,3,19,56,55,52,35,10,0,0,239,0,12,24,11,13,4,0,0,0,63,0,10,75,49,39,16,3,0,0,190,3,9,37,22,20,18,0,0,0,104,7,28,120,105,66,16,4,0,0,339,7,27,67,56,59,33,6,0,0,262,3,19,91,106,93,46,11,0,0,374,14,22,106,98,99,41,19,3,0,394,8,92,243,181,168,113,22,0,0,828,10,13,24,18,15,3,0,0,0,86
SSC50297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
