SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC51543,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SSC51544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51545,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,4
SSC51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51548,0,4,0,0,0,4,0,0,4,93,89,3,188,10,9,13,202,88,3,287
SSC51549,0,3,0,0,0,3,0,0,3,65,54,3,123,9,6,12,134,58,0,189
SSC51550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51551,0,0,0,0,0,0,0,0,0,10,17,0,25,0,0,0,26,3,0,31
SSC51552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51553,0,0,0,0,0,0,5,4,8,100,120,7,222,14,15,35,259,146,4,409
SSC51554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51557,0,0,0,0,0,0,0,0,0,3,7,3,17,0,0,0,16,4,0,18
SSC51558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51561,0,0,0,0,0,0,0,0,0,16,3,0,23,3,0,3,21,14,0,39
SSC51562,0,0,0,0,0,0,0,0,0,38,24,4,68,4,3,7,72,26,0,98
SSC51563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51564,0,0,0,0,0,0,0,0,0,36,17,0,49,3,5,11,62,49,3,112
SSC51565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51566,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,12
SSC51567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51569,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,3,0,5
SSC51570,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,6,8,0,17
SSC51571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51572,0,0,0,0,0,0,5,6,12,68,58,11,140,10,12,29,165,130,9,303
SSC51573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51576,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,9,0,0,8
SSC51577,0,0,0,0,0,0,0,0,0,31,31,3,69,5,5,13,83,41,0,123
SSC51578,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,8,5,0,11
SSC51579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51584,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,7,3,0,9
SSC51585,0,0,0,0,0,0,0,0,0,27,4,3,43,0,0,0,47,11,0,52
SSC51586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51589,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5
SSC51590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51593,3,7,0,0,0,3,4,0,10,63,63,6,137,13,6,18,157,143,0,301
SSC51594,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,0,15
SSC51595,0,0,0,0,0,0,0,0,3,230,151,15,392,16,14,23,417,190,3,610
SSC51596,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,8,0,0,9
SSC51597,0,0,0,0,0,0,0,0,0,3,3,0,13,0,0,0,14,7,0,24
SSC51598,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,6,0,0,10
SSC51599,0,0,0,0,0,0,0,0,0,6,5,0,11,0,0,0,11,3,0,16
SSC51600,0,0,0,0,0,0,0,0,0,45,36,0,84,8,8,18,96,61,0,157
SSC51601,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,14,12,0,25
SSC51602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51605,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,8
SSC51606,0,0,0,0,0,0,0,0,0,41,48,3,96,3,9,6,103,74,0,174
SSC51607,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,12
SSC51608,0,0,0,0,0,0,7,0,3,37,30,3,74,13,7,22,100,122,0,223
SSC51609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51612,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,0,6
SSC51613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51614,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4
SSC51615,0,0,0,0,0,0,0,0,0,3,11,0,15,0,3,3,15,15,0,33
SSC51616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51617,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC51618,0,0,0,0,0,0,0,0,0,26,28,3,55,5,3,9,59,48,0,109
SSC51619,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,3,0,6
SSC51620,0,0,0,0,0,0,0,0,0,21,9,3,33,5,0,3,41,12,0,52
SSC51621,0,0,0,0,0,0,0,0,4,51,49,3,106,0,3,4,105,36,3,145
SSC51622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51623,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,9,6,0,14
SSC51624,0,4,0,0,0,4,0,0,4,124,98,3,227,12,12,19,246,64,0,309
SSC51625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51629,0,0,0,0,0,0,0,0,0,8,11,0,18,0,0,3,25,8,0,34
SSC51630,0,0,0,0,0,0,0,0,0,26,11,0,39,3,4,3,47,13,0,57
SSC51631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51634,0,0,0,0,0,0,0,0,3,21,15,6,43,3,0,3,41,24,0,67
SSC51635,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,8
SSC51636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7
SSC51638,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC51639,0,0,0,0,0,0,3,5,9,11,5,0,17,0,0,0,21,22,5,50
SSC51640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51642,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,5
SSC51643,0,0,0,0,0,0,0,0,0,22,26,4,51,0,0,0,51,58,0,105
SSC51644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51645,0,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,4,0,0,8
SSC51646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51647,0,0,0,0,0,0,0,0,0,5,5,0,14,0,0,0,14,3,0,24
SSC51648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51649,0,0,0,0,0,0,0,0,0,35,29,0,64,0,0,0,71,15,3,82
SSC51650,0,4,0,0,0,0,4,3,10,94,79,18,187,16,18,29,220,154,3,378
SSC51651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51653,0,0,0,0,0,0,3,0,3,102,80,13,199,17,11,27,222,90,0,319
SSC51654,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC51655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51658,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,9,0,0,8
SSC51659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51663,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3
SSC51664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
