SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC50670,..,5,5,15,0,15,5,0,5,0,0,0,0,0,0,0,0,0,25,5,28
SSC50671,..,7,7,9,3,13,3,0,3,0,0,0,0,0,0,0,0,0,16,11,31
SSC50672,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50673,..,9,9,3,0,7,0,0,0,4,0,4,4,0,4,0,0,0,12,5,25
SSC50674,..,7,7,7,0,7,5,0,5,0,0,0,0,0,0,0,0,0,16,7,24
SSC50675,..,0,0,8,0,8,0,0,0,3,0,3,9,0,9,0,0,0,18,0,18
SSC50676,..,16,16,26,3,29,9,0,9,0,0,0,3,0,3,0,0,0,38,21,55
SSC50677,..,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,10
SSC50678,..,16,16,41,0,43,11,0,16,21,0,21,5,0,5,5,0,5,88,21,104
SSC50679,..,96,96,299,10,304,147,0,150,181,3,180,78,0,78,31,0,31,729,115,842
SSC50680,..,144,144,336,15,348,231,4,235,263,3,264,85,3,89,55,0,55,972,162,1136
SSC50681,..,26,26,21,0,24,11,0,11,8,0,8,3,0,3,0,0,0,43,31,74
SSC50682,..,74,74,146,14,158,62,0,62,67,0,67,28,0,28,20,0,20,325,87,408
SSC50683,..,4,4,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9
SSC50684,..,13,13,27,0,25,3,0,3,11,0,11,7,0,7,0,0,0,47,17,62
SSC50685,..,3,3,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,13,3,19
SSC50686,..,4,4,10,0,10,0,0,0,0,0,0,7,0,7,0,0,0,18,4,24
SSC50687,..,4,4,15,0,15,6,0,6,6,0,6,0,0,0,0,0,0,29,4,31
SSC50688,..,23,23,45,0,50,16,0,16,14,0,14,13,0,13,0,0,0,90,25,116
SSC50689,..,3,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,10,3,11
SSC50690,..,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,13,0,15
SSC50691,..,72,72,235,10,239,154,0,157,209,0,208,71,0,71,34,0,34,702,86,786
SSC50692,..,5,5,7,0,7,0,0,0,6,0,6,0,0,0,0,0,0,14,5,23
SSC50693,..,11,11,24,0,24,0,0,0,5,0,5,4,0,4,0,0,0,36,11,44
SSC50694,..,6,6,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,7,14
SSC50695,..,328,328,214,22,234,41,5,46,47,0,47,10,0,10,0,0,0,319,350,667
SSC50696,..,796,796,1098,133,1229,522,59,574,435,23,462,152,13,164,69,5,75,2275,1029,3296
SSC50697,..,852,852,673,87,752,272,23,298,189,9,194,37,3,38,31,0,31,1201,972,2173
SSC50698,..,44,44,64,0,63,15,0,15,14,0,14,4,0,4,3,0,3,98,45,146
SSC50699,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50700,..,205,205,274,17,292,78,3,79,84,0,84,26,0,26,6,0,6,470,223,697
SSC50701,..,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,14,0,13
SSC50702,..,662,662,1003,40,1042,348,3,357,388,0,395,174,0,174,53,0,55,1969,708,2680
SSC50703,..,14,14,23,0,24,3,0,3,14,0,14,6,0,6,3,0,3,41,17,63
SSC50704,..,200,200,250,12,261,69,0,69,64,0,64,23,0,23,7,0,7,406,216,622
SSC50705,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50706,..,45,45,101,4,101,25,0,25,46,0,46,13,0,13,3,0,3,194,43,237
SSC50707,..,450,450,389,48,432,194,13,206,152,6,161,75,6,81,42,0,41,853,524,1379
SSC50708,..,4,4,8,0,8,0,0,0,6,0,6,6,0,6,0,0,0,23,4,26
SSC50709,..,312,312,619,22,644,303,9,304,364,4,362,135,0,141,38,0,38,1460,351,1809
SSC50710,..,3,3,11,0,11,6,0,6,7,0,7,0,0,0,0,0,0,26,3,30
SSC50711,..,12,12,7,0,10,13,0,13,15,0,15,7,0,7,24,0,24,68,13,81
SSC50712,..,72,72,66,4,73,42,0,42,29,0,29,15,0,15,5,0,5,158,77,236
SSC50713,..,144,144,179,8,190,104,0,104,97,0,97,52,0,52,17,0,17,449,157,608
SSC50714,..,30,30,79,0,79,21,0,21,22,0,22,11,0,11,6,0,6,132,26,156
SSC50715,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC50716,..,17,17,42,0,48,9,0,9,9,0,9,3,0,3,3,0,3,69,13,86
SSC50717,..,9,9,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,16,9,17
SSC50718,..,124,124,132,21,157,112,16,126,71,20,91,39,8,45,22,5,25,373,191,568
SSC50719,..,625,625,1094,77,1173,536,41,580,529,23,552,198,5,199,68,8,73,2423,777,3199
SSC50720,..,11,11,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,11,12
SSC50721,..,10,10,20,0,20,4,0,4,0,0,0,0,0,0,0,0,0,30,10,41
SSC50722,..,11,11,20,3,20,10,0,9,11,0,11,0,0,0,0,0,0,42,9,50
SSC50723,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9
SSC50724,..,35,35,39,0,45,40,0,43,29,0,29,11,0,11,14,0,14,138,34,173
SSC50725,..,66,66,135,4,146,102,0,102,78,0,78,32,0,32,13,0,13,368,77,441
SSC50726,..,19,19,44,4,43,20,0,20,25,0,25,16,0,16,8,0,8,111,21,131
SSC50727,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50728,..,7,7,21,0,24,3,0,6,11,0,15,3,0,3,3,0,3,47,13,58
