SSC_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,7,0,0,15
SSC50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,16,12,0,0,26
SSC50031,3,3,0,0,8,3,0,0,0,3,0,0,3,0,4,0,0,3,0,3,3,0,9,0,15,7,0,7,0,17,23,0,4,0,33,18,10,3,4,35,25,5,11,3,43,29,5,10,0,48,12,10,9,0,29,20,14,3,0,36,45,19,11,0,81,37,23,3,0,59,14,30,3,0,46,18,23,0,0,44,49,51,0,0,106,29,43,6,0,77,3,0,3,0,10,346,248,85,13,693
SSC50032,3,0,0,0,7,3,0,0,0,3,0,0,0,0,3,0,0,4,0,4,15,0,4,0,20,5,0,6,0,16,39,4,6,0,50,19,3,11,0,37,28,9,14,0,51,22,24,7,0,56,15,32,9,0,55,17,25,4,0,43,35,65,11,3,102,22,38,6,0,69,16,34,0,0,52,5,22,3,0,34,14,22,0,0,38,23,50,11,0,83,6,7,0,0,10,281,348,96,9,732
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50034,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,3,3,0,9,3,4,3,0,13,21,0,8,0,38,11,10,11,0,21,7,4,8,3,17,7,4,7,0,19,11,11,5,0,30,6,12,5,0,26,8,14,4,0,27,15,11,8,0,29,12,5,0,0,17,6,10,3,0,16,14,13,0,0,23,17,20,3,0,40,0,0,0,0,3,140,122,75,13,350
SSC50035,8,5,3,0,25,5,3,0,0,7,7,0,3,0,9,6,0,0,0,9,27,0,8,0,30,4,0,14,0,18,29,3,19,0,53,38,14,12,0,60,66,16,16,0,98,45,22,10,0,71,26,21,21,0,63,25,18,14,0,60,79,65,14,3,164,38,76,6,0,115,40,78,3,0,113,27,78,5,0,116,92,328,14,0,434,50,129,21,0,203,12,5,5,0,22,614,869,185,8,1675
SSC50036,13,7,6,0,28,6,0,7,3,11,3,4,4,4,16,0,0,10,0,10,8,3,9,0,27,14,13,19,4,55,47,23,21,0,87,25,29,34,0,84,45,50,42,5,137,34,83,26,3,148,30,75,21,4,126,32,66,24,3,127,75,250,38,0,361,88,225,8,0,327,39,158,3,0,208,35,121,6,0,160,40,202,5,8,245,63,200,24,6,293,3,4,3,0,14,611,1509,309,34,2473
SSC50037,10,4,4,0,18,0,3,0,0,3,3,7,4,0,14,0,0,5,0,6,6,3,11,3,24,4,9,13,0,28,30,8,13,0,57,18,17,15,0,45,25,33,21,3,85,30,45,16,3,92,30,61,10,0,108,25,85,8,0,123,64,194,21,3,281,48,167,3,0,219,30,112,3,0,143,23,78,4,0,104,34,129,0,0,168,44,133,10,0,185,4,7,3,0,10,436,1087,173,12,1714
