SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC50507,0,0,0,0,0,0,0,0,0,0
SSC50508,169,11,180,1678,439,50,2168,3551,257,5974
SSC50509,0,0,0,0,0,0,0,0,0,0
SSC50510,7,0,7,35,22,3,58,147,26,225
SSC50511,0,0,0,17,0,0,15,25,80,122
SSC50512,0,0,0,0,0,0,0,0,0,0
SSC50513,0,0,0,12,0,0,12,17,0,26
SSC50514,0,0,0,7,4,0,13,28,10,45
SSC50515,14,3,13,185,70,10,267,533,67,868
SSC50516,131,68,198,2024,811,61,2901,6633,842,10373
SSC50517,0,0,0,4,3,0,9,22,8,40
SSC50518,0,0,7,59,5,7,72,183,45,299
SSC50519,0,0,0,0,0,0,3,26,29,48
SSC50520,146,44,190,939,458,46,1442,4933,974,7343
SSC50521,31,4,35,86,74,3,157,654,110,925
SSC50522,0,0,0,0,3,0,3,10,0,8
SSC50523,0,0,0,79,55,3,136,378,31,541
SSC50524,0,0,0,10,0,0,11,33,0,45
SSC50525,0,0,0,20,3,0,22,54,8,86
SSC50526,0,0,0,9,0,0,6,39,35,77
SSC50527,0,0,0,21,10,0,27,351,335,720
SSC50528,0,0,0,3,0,0,9,44,11,63
SSC50529,0,0,0,15,25,8,50,34,32,111
SSC50530,0,0,0,6,0,0,5,3,6,18
SSC50531,23,3,20,408,138,20,572,1153,103,1828
SSC50532,43,8,56,473,200,30,697,1818,246,2764
SSC50533,0,0,0,18,3,0,25,35,8,62
SSC50534,146,20,168,343,188,15,541,1781,356,2679
SSC50535,0,0,0,4,0,0,4,3,0,6
SSC50536,0,0,0,12,16,7,38,23,17,77
SSC50537,3,0,4,68,16,0,87,246,41,365
SSC50538,0,0,0,35,64,21,115,55,10,180
SSC50539,0,0,0,0,0,0,0,0,47,51
SSC50540,20,0,19,447,155,19,623,1440,186,2248
SSC50541,0,0,0,11,7,0,19,42,10,69
SSC50542,0,0,0,0,4,0,8,10,3,15
SSC50543,0,0,0,6,0,0,6,25,0,31
SSC50544,0,0,0,0,0,0,0,0,0,0
SSC50545,0,0,0,0,0,0,0,0,5,5
SSC50546,12,3,14,153,43,3,200,384,67,645
SSC50547,0,0,0,6,0,0,6,17,11,30
SSC50548,63,0,70,1347,451,47,1853,4496,533,6882
SSC50549,13,5,20,133,61,9,201,484,92,779
SSC50550,35,3,36,478,190,28,704,1418,139,2249
SSC50551,16,8,19,545,169,29,740,1344,199,2287
SSC50552,0,0,0,3,0,0,3,30,7,43
SSC50553,0,0,0,6,0,0,7,18,3,29
SSC50554,50,16,67,321,80,0,402,1547,271,2217
SSC50555,6,3,12,181,52,12,246,425,48,717
SSC50556,0,0,3,11,9,3,21,64,0,84
SSC50557,0,0,0,18,5,0,27,41,3,70
SSC50558,0,0,0,15,0,0,14,20,10,44
SSC50559,14,7,20,156,65,3,222,698,58,977
SSC50560,0,0,0,107,12,0,123,193,45,360
SSC50561,0,0,0,0,0,0,0,3,4,6
SSC50562,5,3,9,96,33,11,134,276,53,469
SSC50563,0,0,0,3,0,0,3,19,5,26
SSC50564,15,3,16,842,196,47,1084,1480,233,2804
SSC50565,3,0,5,21,9,0,27,156,7,197
SSC50566,0,0,0,7,3,0,15,20,6,40
SSC50567,18,6,26,66,30,3,98,296,75,470
SSC50568,0,0,0,3,0,0,3,8,0,10
SSC50569,53,6,62,492,324,38,848,1705,184,2736
SSC50570,0,0,0,5,3,0,11,11,0,28
SSC50571,0,0,0,0,0,0,0,0,0,0
SSC50572,349,94,443,3245,1041,126,4409,10123,1601,16134
SSC50573,3,0,6,52,8,3,59,102,21,187
SSC50574,0,0,0,3,3,0,4,9,3,20
SSC50575,0,0,0,25,0,0,24,55,14,99
SSC50576,0,0,0,17,8,0,31,96,12,147
SSC50577,4,0,3,31,16,0,45,198,18,263
SSC50578,0,0,0,16,7,0,18,26,3,51
SSC50579,0,0,0,7,4,0,13,28,3,44
SSC50580,7,0,7,43,11,0,59,209,37,305
SSC50581,309,44,355,1403,577,62,2037,5385,666,8086
SSC50582,0,0,0,10,3,0,15,18,18,43
SSC50583,75,30,104,385,190,17,598,1422,213,2234
SSC50584,3,0,3,42,14,5,64,145,23,228
SSC50585,76,14,89,1766,819,98,2691,4593,389,7674
SSC50586,0,0,0,3,3,0,4,7,0,10
SSC50587,0,0,0,3,6,0,9,46,9,61
SSC50588,0,0,0,0,0,0,0,3,0,8
SSC50589,0,0,0,19,35,5,66,52,11,128
SSC50590,0,0,0,0,0,0,0,0,0,0
SSC50591,3,0,6,11,9,3,26,103,28,156
SSC50592,41,25,66,263,96,13,368,997,285,1656
SSC50593,0,0,0,3,3,0,4,0,0,4
SSC50594,0,0,0,3,8,0,8,21,8,35
SSC50595,0,0,0,14,0,0,15,17,0,33
SSC50596,0,0,0,8,5,0,16,44,0,55
