SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC51023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51024,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC51025,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC51026,956,36,0,0,3,998,109,16,0,0,0,123,24,0,0,0,0,22,1087,55,0,0,3,1146
SSC51027,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,22
SSC51028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51030,264,0,0,0,3,270,36,0,0,3,0,39,11,0,0,0,0,11,306,0,0,3,3,316
SSC51031,42,0,0,0,0,37,7,0,0,0,0,7,0,0,0,0,0,0,52,0,0,0,0,48
SSC51032,28,0,0,0,0,29,35,0,0,0,0,32,10,0,0,0,0,13,71,4,3,0,0,83
SSC51033,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC51034,95,3,0,0,0,101,24,5,0,0,0,31,7,0,0,0,0,7,128,8,0,0,0,139
SSC51035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51036,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,3,5,0,0,0,0,8
SSC51037,1750,85,0,0,0,1838,102,11,0,0,0,117,27,3,0,0,0,33,1884,100,0,0,0,1985
SSC51038,44,0,0,0,0,44,4,0,0,3,0,8,0,0,0,0,0,0,52,0,0,3,0,54
SSC51039,87,0,0,8,0,89,53,0,0,0,0,55,3,0,0,0,0,4,145,0,0,10,0,150
SSC51040,77,14,0,0,0,91,10,3,0,0,0,14,0,0,0,0,0,0,87,17,0,0,0,102
SSC51041,50,0,0,0,3,51,15,0,0,0,0,15,0,0,0,0,0,0,65,0,0,0,3,64
SSC51042,22,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26
SSC51043,16,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,20
SSC51044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51045,920,27,0,4,4,965,102,49,0,12,0,158,17,9,0,3,0,28,1047,83,0,14,6,1151
SSC51046,317,0,0,0,0,320,72,0,0,0,0,72,11,0,0,0,0,11,397,0,0,0,0,404
SSC51047,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,6
SSC51048,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC51049,32,0,0,0,0,33,10,0,0,0,0,10,0,0,0,0,0,0,45,0,0,0,0,47
SSC51050,1179,112,0,0,0,1291,183,18,0,0,0,200,30,0,0,0,0,27,1386,137,0,0,0,1524
SSC51051,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SSC51052,32,0,0,0,0,29,14,0,0,0,0,14,0,0,0,0,0,0,47,0,0,0,0,43
SSC51053,9,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,3,16
SSC51054,631,221,38,0,3,888,24,63,9,0,0,98,13,18,0,0,0,27,666,297,49,0,3,1014
SSC51055,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC51056,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51057,83,0,0,0,0,83,26,0,0,0,0,26,3,0,0,0,0,0,108,0,0,3,0,113
SSC51058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51059,486,130,0,0,0,617,124,32,0,0,0,153,10,8,0,0,0,18,622,162,0,0,0,785
SSC51060,128,0,0,3,0,130,25,0,0,0,0,25,8,0,0,0,0,8,156,0,0,3,0,159
SSC51061,36,0,0,0,0,36,7,0,0,0,0,7,0,0,0,0,0,0,51,0,0,0,0,51
SSC51062,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC51063,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC51064,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC51065,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,14
SSC51066,87,0,0,3,0,87,15,0,0,3,0,19,0,0,0,0,0,0,98,0,0,9,0,102
SSC51067,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12
SSC51068,10,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,14
SSC51069,0,0,0,4,0,4,0,0,0,7,0,7,0,0,0,3,0,3,0,0,0,8,0,8
SSC51070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51071,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,3,24,0,0,0,3,24
SSC51072,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC51073,259,0,0,9,0,274,74,0,0,4,0,71,9,0,0,0,0,9,339,0,0,12,0,351
SSC51074,19,0,0,0,0,19,6,0,0,0,0,7,3,0,0,0,0,3,29,0,0,0,0,33
SSC51075,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,8
SSC51076,78,0,0,0,0,79,22,0,0,0,0,22,0,0,0,0,0,0,99,0,0,0,0,103
SSC51077,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51078,126,3,0,0,0,135,36,0,0,0,0,38,9,0,0,0,0,9,178,5,0,0,0,179
SSC51079,18,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,23
SSC51080,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26
SSC51081,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC51082,123,0,0,5,6,132,32,0,0,0,0,33,5,0,0,0,0,5,157,0,0,5,6,172
SSC51083,1017,49,11,10,0,1096,298,38,0,46,0,388,52,7,0,0,0,60,1369,96,17,63,0,1545
SSC51084,36,0,0,0,0,36,4,0,0,0,0,4,0,0,0,0,0,0,37,0,0,0,0,37
SSC51085,19,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,21
SSC51086,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4
SSC51087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51088,2515,491,264,0,3,3277,98,80,31,0,0,213,41,17,12,0,0,63,2653,586,307,0,3,3557
SSC51089,27,0,0,0,0,27,7,0,0,0,0,7,0,0,0,0,0,0,37,0,0,0,0,37
SSC51090,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5
SSC51091,18,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,24
SSC51092,51,0,0,0,0,51,7,0,0,0,0,8,3,0,0,0,0,3,62,0,0,0,7,66
SSC51093,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC51094,31,0,0,0,0,33,5,0,0,0,0,5,0,0,0,0,0,0,38,0,0,0,0,38
SSC51095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC51097,15,0,0,0,0,19,3,0,0,0,0,7,0,0,0,0,0,0,24,3,0,0,0,26
SSC51098,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8
SSC51099,43,0,0,0,0,47,13,0,0,0,0,12,3,0,0,0,0,3,61,0,0,0,6,67
SSC51100,45,0,0,0,0,45,5,0,0,0,0,5,0,0,0,0,0,0,51,0,0,0,0,51
SSC51101,1071,36,9,5,3,1127,119,22,8,0,6,156,27,5,0,0,6,34,1213,68,19,6,18,1322
SSC51102,78,0,3,3,0,84,82,0,0,0,0,81,41,0,0,0,0,41,192,0,4,3,0,202
SSC51103,1165,78,9,3,0,1248,87,23,0,0,0,115,26,5,0,0,0,28,1276,107,9,3,0,1392
SSC51104,82,0,0,3,0,85,17,0,0,0,0,17,0,0,0,0,0,0,100,0,0,3,0,101
SSC51105,17,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,14
SSC51106,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,8
SSC51107,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC51108,20,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,25
SSC51109,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
