SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC50820,7,194,306,112,56,676,17,696
SSC50821,18,89,98,45,17,273,15,287
SSC50822,35,685,1774,702,403,3594,66,3657
SSC50823,5,40,37,8,8,100,6,105
SSC50824,97,657,675,259,126,1823,74,1893
SSC50825,0,9,6,6,7,22,0,24
SSC50826,66,428,456,172,86,1212,33,1250
SSC50827,25,49,41,10,3,132,6,141
SSC50828,0,0,0,0,0,0,0,0
SSC50829,41,341,396,141,64,983,36,1016
SSC50830,0,28,26,16,7,79,5,87
SSC50831,89,611,441,104,38,1290,33,1323
SSC50832,5,37,58,24,9,132,3,136
SSC50833,71,829,1646,714,376,3643,57,3699
SSC50834,0,0,0,0,0,0,0,0
SSC50835,7,61,38,6,0,116,3,122
SSC50836,0,10,22,12,17,61,3,61
SSC50837,26,74,49,10,16,177,10,186
SSC50838,4,121,414,222,187,946,21,966
SSC50839,0,0,0,0,0,0,0,0
SSC50840,54,607,1113,528,414,2724,52,2779
SSC50841,0,0,4,3,0,11,0,11
SSC50842,0,0,3,0,3,6,0,6
SSC50843,0,3,11,7,6,24,0,24
SSC50844,13,132,231,83,75,529,11,542
SSC50845,0,0,3,3,0,3,0,8
SSC50846,0,0,0,0,0,0,0,0
SSC50847,0,0,0,3,0,7,0,7
SSC50848,117,473,378,144,71,1184,69,1255
SSC50849,51,190,130,58,30,456,29,484
SSC50850,0,3,0,0,0,4,0,4
SSC50851,0,0,0,0,0,0,0,0
SSC50852,0,0,0,3,7,13,0,13
SSC50853,0,6,21,10,7,46,0,46
SSC50854,0,58,249,139,155,605,13,619
SSC50855,0,3,0,0,3,8,0,8
SSC50856,7,159,275,118,77,624,18,643
SSC50857,0,10,27,15,9,50,0,57
SSC50858,0,9,15,6,7,33,3,37
SSC50859,0,3,7,4,13,26,0,26
SSC50860,0,0,3,0,0,4,0,4
SSC50861,0,4,3,0,0,6,0,5
SSC50862,55,451,463,171,67,1209,34,1247
SSC50863,0,14,0,4,3,17,3,23
SSC50864,256,1369,1280,493,339,3734,119,3856
SSC50865,40,556,943,306,143,1988,35,2025
SSC50866,12,204,419,168,78,885,16,900
SSC50867,0,0,0,0,0,3,3,4
SSC50868,0,0,0,0,0,0,0,0
SSC50869,0,0,0,0,4,8,0,12
SSC50870,4,43,111,59,55,274,7,278
SSC50871,18,132,124,29,21,313,12,326
SSC50872,29,337,596,278,270,1510,44,1554
SSC50873,0,0,0,0,0,0,0,0
SSC50874,0,0,3,0,4,16,0,16
SSC50875,0,0,0,0,0,0,0,0
SSC50876,0,3,5,0,0,11,0,11
SSC50877,0,0,3,3,5,8,0,8
SSC50878,0,0,0,0,0,0,0,0
SSC50879,0,0,3,3,0,11,0,11
SSC50880,0,0,4,3,4,15,0,21
SSC50881,448,1816,877,217,90,3444,176,3614
SSC50882,117,503,612,225,110,1572,71,1643
SSC50883,0,0,9,0,4,13,0,13
SSC50884,72,442,639,191,74,1416,40,1453
SSC50885,0,10,19,7,16,54,0,55
SSC50886,139,907,1279,636,339,3303,114,3416
SSC50887,0,0,13,8,3,24,0,24
SSC50888,3,19,37,16,26,100,3,103
SSC50889,15,50,26,10,12,111,26,135
