SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC50989,19,14,41,4,3,6,7,6,9,0,0,0,0,0,0,8,10,20,12,6,15,0,0,0,42.1,71.4,48.8,57.9,64.3,36.6,0,0,0,0,0,0,0,3,5,0,0,0,4,3,3,0,0,0,0,0,0,4,3,3,22,14,34,3,5,8,10,10,17,14,9,18
SSC50990,3394,3854,7248,1456,848,2306,528,1042,1569,87,104,186,138,123,266,2206,2117,4330,875,1415,2293,6.3,5.8,6.1,65,54.9,59.7,61,51.7,56,387,367,757,70,184,254,976,1096,2072,252,375,624,352,148,500,19,28,46,24,76,108,399,257,652,2911,3421,6331,689,805,1496,1818,2090,3914,1682,2053,3736
SSC50991,18,18,33,13,7,13,0,3,5,0,0,0,0,0,0,10,8,21,7,3,11,0,0,0,55.6,44.4,63.6,72.2,55.6,54.5,0,0,0,0,0,0,3,7,9,0,0,3,6,0,6,0,0,0,0,0,0,6,0,6,19,15,39,4,5,6,14,8,23,10,5,14
SSC50992,7,7,9,4,0,3,0,0,0,0,0,0,3,0,3,3,7,11,0,0,0,100,0,27.3,42.9,100,122.2,57.1,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,7,8,3,0,3,3,0,4,3,3,4
SSC50993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50994,1102,1140,2245,428,194,620,132,282,411,42,33,76,46,34,74,646,537,1179,346,508,853,7.1,6.3,6.3,58.6,47.1,52.5,54.6,44.6,49.3,5,12,20,10,21,26,54,93,150,76,110,181,276,147,426,14,35,44,21,38,53,306,215,520,1033,1085,2113,189,172,362,642,698,1339,509,488,999
SSC50995,3,9,11,3,0,3,0,3,3,0,0,0,0,0,0,3,5,4,0,0,4,0,0,0,100,55.6,36.4,100,33.3,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,12,17,0,0,0,3,0,3,3,4,10
SSC50996,25,30,55,12,6,19,0,0,0,0,0,0,8,5,15,15,14,37,9,15,22,53.3,35.7,40.5,60,46.7,67.3,48,20,34.5,0,0,0,0,0,0,0,5,5,0,0,0,3,9,10,0,3,3,0,0,0,6,6,16,37,37,70,13,7,19,18,21,36,21,22,46
SSC50997,3,7,11,5,3,5,0,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,100,42.9,54.5,166.7,42.9,72.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,12,0,0,0,3,0,4,0,0,7
SSC50998,1728,1991,3716,743,376,1126,275,604,879,40,37,74,65,56,126,1121,1073,2199,514,822,1338,5.8,5.2,5.7,64.9,53.9,59.2,61.2,51.1,55.9,244,172,421,54,114,165,505,579,1086,128,229,357,129,58,193,0,10,10,17,52,67,148,119,263,1785,1945,3733,281,287,569,1158,1319,2476,864,860,1722
