SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC50447,12,12,26,0,3,3,0,0,3,0,0,0,0,0,3,3,4,10,9,4,15,0,0,30,25,33.3,38.5,0,25,23.1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,3,3,7,13,14,26,0,0,0,14,10,21,0,0,3
SSC50448,23,13,41,19,3,24,0,3,3,3,3,3,0,0,0,23,9,32,3,5,5,0,0,0,100,69.2,78,95.7,69.2,73.2,0,0,0,0,0,0,0,3,3,0,0,0,13,0,9,0,0,0,0,0,0,10,3,12,27,19,51,0,0,0,27,19,43,3,3,4
SSC50449,44,38,78,24,7,30,8,11,15,3,3,6,0,0,0,32,25,57,9,5,18,0,0,0,72.7,65.8,73.1,79.5,55.3,65.4,0,0,0,0,4,4,3,4,6,3,4,6,6,0,10,0,0,0,0,0,0,10,3,11,43,40,80,0,0,0,33,33,71,7,3,10
SSC50450,18,29,45,17,6,17,0,7,7,0,0,0,0,0,0,17,12,29,0,10,11,0,0,0,94.4,41.4,64.4,94.4,44.8,53.3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,0,0,0,0,0,0,3,4,6,15,16,30,3,5,8,11,9,26,4,4,15
SSC50451,1565,1744,3310,629,347,974,168,415,585,45,56,101,108,57,167,948,877,1828,513,754,1269,11.4,6.5,9.1,60.6,50.3,55.2,53.8,46.9,50.2,18,27,42,9,20,30,92,152,238,88,142,230,522,245,765,11,43,53,25,43,70,562,332,892,1437,1611,3046,238,272,512,1046,1119,2160,576,700,1279
SSC50452,2239,2140,4384,1015,543,1554,353,523,879,74,63,138,148,138,289,1597,1265,2857,483,741,1224,9.3,10.9,10.1,71.3,59.1,65.2,64.4,52.8,58.6,110,128,239,24,35,53,350,433,781,211,189,399,427,183,612,21,30,54,32,43,80,483,252,742,1887,1816,3706,611,590,1197,1083,1034,2120,1282,1244,2525
SSC50453,354,318,677,155,98,253,40,63,104,19,18,37,20,3,23,224,187,412,89,95,179,8.9,1.6,5.6,63.3,58.8,60.9,60.5,56.3,58.2,3,0,3,0,3,3,17,21,35,16,28,40,109,47,157,3,7,14,3,7,9,118,61,180,344,309,660,53,53,101,233,188,415,145,157,302
SSC50454,21,10,34,7,3,11,5,6,6,0,0,0,3,0,3,15,10,22,5,3,6,20,0,13.6,71.4,100,64.7,57.1,90,50,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,5,3,6,22,10,30,4,6,8,18,8,28,8,6,10
SSC50455,3,4,11,6,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,4,3,0,0,0,200,0,27.3,200,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,3,4,11,0,0,0
SSC50456,2891,3138,6027,1349,823,2168,424,952,1374,86,90,179,136,90,222,1992,1956,3945,685,968,1654,6.8,4.6,5.6,68.9,62.3,65.5,64.3,59.4,61.7,251,241,494,100,172,269,731,871,1608,260,365,632,413,192,602,22,29,44,44,72,115,478,290,766,2708,2913,5625,502,573,1074,1799,1988,3790,1319,1427,2750
SSC50457,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3
SSC50458,29,17,51,18,6,15,0,3,10,0,0,0,0,0,0,16,12,29,5,6,8,0,0,0,55.2,70.6,56.9,62.1,52.9,49,0,0,0,0,3,3,3,7,6,0,0,0,4,0,7,0,0,0,0,0,0,7,0,3,16,9,25,11,12,22,8,9,16,14,10,26
SSC50459,3,3,7,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,100,42.9,0,0,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,3,0,0,0,0,0,0,0,0,0
SSC50460,5,3,8,0,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,50,0,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,3,9,0,0,0,3,0,3,0,0,4
SSC50461,17,9,27,5,3,6,3,3,6,0,0,0,0,0,0,8,8,12,3,3,5,0,0,0,47.1,88.9,44.4,47.1,66.7,44.4,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,0,3,5,0,3,9,6,22,0,3,3,9,5,13,3,7,5
SSC50462,3,5,11,4,0,7,0,3,0,0,0,3,0,0,0,3,3,7,0,0,0,0,0,0,100,60,63.6,133.3,60,90.9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,3,0,4,6,3,10,0,0,3,6,3,10,0,0,3
SSC50463,5265,4707,9971,2451,1646,4096,650,834,1484,170,144,309,310,242,556,3577,2866,6442,907,1174,2080,8.7,8.4,8.6,67.9,60.9,64.6,62.1,55.7,59.1,551,478,1030,88,138,224,1423,1421,2844,463,462,930,532,233,764,25,26,55,56,72,122,621,326,942,2865,2558,5419,1762,1679,3447,1094,944,2041,3444,3179,6630
SSC50464,86,91,181,57,32,94,5,23,33,8,6,12,0,0,3,77,63,137,8,18,26,0,0,2.2,89.5,69.2,75.7,81.4,67,76.8,0,0,0,0,3,3,0,7,8,3,13,20,13,11,24,0,4,8,0,3,3,17,18,33,90,92,183,5,5,11,77,70,153,12,16,37
SSC50465,9,7,13,6,4,6,0,4,4,0,0,0,0,0,0,5,5,13,0,0,0,0,0,0,55.6,71.4,100,66.7,114.3,76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,4,16,0,0,0,3,3,10,0,3,5
SSC50466,136,115,249,23,6,32,8,13,19,0,0,0,7,3,13,40,27,63,65,68,133,17.5,11.1,20.6,29.4,23.5,25.3,22.8,16.5,20.5,0,0,0,0,0,0,0,4,4,0,0,0,28,15,42,0,3,3,0,0,0,28,18,46,87,75,158,22,27,47,56,53,108,49,42,90
SSC50467,4264,4216,8477,2038,1352,3391,577,1056,1629,106,143,241,273,204,479,2985,2752,5737,801,1062,1864,9.1,7.4,8.3,70,65.3,67.7,63.8,60.5,62.1,330,327,654,98,165,261,854,1126,1977,361,383,739,696,315,1006,46,45,91,56,84,137,790,437,1228,3394,3478,6875,988,977,1960,1955,1988,3940,2264,2255,4518
SSC50468,19,11,33,11,4,17,3,0,6,0,0,0,0,0,0,13,11,23,0,4,8,0,0,0,68.4,100,69.7,73.7,36.4,69.7,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,13,13,29,0,0,3,13,8,25,0,4,3
SSC50469,19,17,33,10,0,7,3,3,5,0,0,0,3,3,4,10,6,20,3,3,7,30,50,20,52.6,35.3,60.6,68.4,17.6,36.4,0,0,0,0,0,0,0,5,5,0,0,0,7,3,10,0,0,0,0,0,0,7,3,10,16,10,21,3,4,10,12,11,22,4,6,12
SSC50470,57,48,107,38,13,48,5,18,20,3,4,11,0,0,0,43,31,79,6,10,13,0,0,0,75.4,64.6,73.8,80.7,72.9,73.8,0,0,0,0,0,0,0,3,10,3,4,5,10,4,13,0,0,0,0,0,0,10,4,13,58,44,102,5,3,14,47,31,79,14,19,28
SSC50471,3290,3496,6782,1518,619,2138,312,989,1298,149,102,251,168,131,302,2152,1843,3990,900,1409,2306,7.8,7.1,7.6,65.4,52.7,58.8,60.2,48.9,54.4,12,25,42,29,33,67,140,287,425,177,262,443,1056,562,1612,33,83,111,40,121,161,1122,765,1888,3224,3352,6580,527,562,1092,2178,2203,4385,1367,1547,2913
SSC50472,1370,1469,2838,607,372,979,162,342,508,43,46,93,85,54,140,905,819,1719,380,559,933,9.4,6.6,8.1,66.1,55.8,60.6,59.3,51.7,55.7,26,32,56,15,36,51,143,204,338,101,134,235,388,143,540,17,30,45,21,35,57,429,214,640,1347,1410,2752,180,198,374,977,998,1977,496,554,1048
SSC50473,1751,1909,3661,904,496,1397,245,580,832,54,69,129,83,74,155,1282,1221,2511,395,624,1023,6.5,6.1,6.2,73.2,64,68.6,68.7,60,64.4,82,87,168,24,68,100,263,354,618,157,246,400,492,193,689,18,26,47,30,42,71,539,268,802,1733,1891,3622,248,288,534,1238,1345,2582,676,741,1420
SSC50474,19,12,34,13,10,25,3,4,4,0,0,0,0,0,0,16,10,28,3,3,6,0,0,0,84.2,83.3,82.4,84.2,116.7,85.3,0,0,0,0,0,0,0,0,0,3,3,6,6,0,8,0,0,0,0,0,0,11,3,13,24,16,41,0,0,3,16,5,23,5,11,17
SSC50475,617,642,1255,391,228,616,54,183,237,33,31,62,20,25,44,498,463,963,57,126,185,4,5.4,4.6,80.7,72.1,76.7,77.5,68.8,72.9,9,5,16,4,12,20,40,99,143,50,82,133,212,125,339,7,15,19,10,24,28,226,163,389,371,381,748,365,378,737,32,29,66,616,660,1279
SSC50476,56,38,100,21,12,38,3,6,7,4,4,7,0,0,0,33,20,48,16,21,39,0,0,0,58.9,52.6,48,50,57.9,52,0,0,3,0,0,0,3,0,5,6,4,8,17,4,23,0,0,0,0,0,0,17,4,23,31,29,64,19,7,23,20,15,37,31,18,47
SSC50477,13,9,20,11,8,17,0,0,3,0,0,0,0,0,0,7,6,14,0,0,0,0,0,0,53.8,66.7,70,84.6,88.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,23,0,0,3,8,5,15,6,5,10
SSC50478,8,6,10,6,4,6,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,75,66.7,60,75,66.7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,3,5,6,7,11,0,0,0
SSC50479,50,50,100,28,15,40,6,11,26,3,0,8,0,0,0,43,31,67,6,14,21,0,0,0,86,62,67,74,52,74,0,0,0,0,0,0,0,6,7,0,9,11,13,5,20,0,0,0,0,0,0,15,5,19,47,43,84,5,10,16,37,30,63,17,21,33
SSC50480,160,155,309,63,34,97,25,56,81,9,8,16,3,4,11,102,104,205,45,43,90,2.9,3.8,5.4,63.7,67.1,66.3,60.6,63.2,62.8,0,0,4,0,4,10,14,21,40,12,16,33,60,27,84,0,7,4,0,9,9,60,38,94,166,169,329,9,6,20,120,117,245,41,52,94
SSC50481,7849,8636,16482,4316,2476,6796,872,2142,3011,287,264,544,446,494,939,5918,5380,11292,1361,2607,3973,7.5,9.2,8.3,75.4,62.3,68.5,69.8,56.5,62.8,168,163,330,68,118,188,582,995,1578,634,957,1589,2270,1284,3548,90,192,284,108,211,327,2471,1686,4154,8071,8496,16564,1878,2086,3965,4046,4228,8273,5122,5511,10632
SSC50482,8,7,11,4,0,5,0,0,0,0,0,3,0,0,0,8,3,11,0,0,0,0,0,0,100,42.9,100,50,0,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,7,4,11,0,0,3,7,4,11,0,0,3
SSC50483,1301,1350,2652,606,335,938,156,315,465,43,37,83,76,67,142,878,747,1629,330,483,809,8.7,9,8.7,67.5,55.3,61.4,61.9,50.9,56,38,44,79,24,29,48,188,228,418,84,135,224,308,109,418,16,12,30,31,29,56,356,154,508,1134,1142,2278,283,272,555,646,656,1304,712,694,1406
SSC50484,17,4,25,13,3,14,0,0,0,0,0,0,0,0,0,15,3,15,0,3,0,0,0,0,88.2,75,60,76.5,75,56,0,0,0,0,0,0,0,3,3,0,0,0,8,0,8,0,0,0,0,0,0,8,0,8,11,4,16,0,0,0,7,3,8,6,5,8
SSC50485,132,160,288,25,15,41,10,22,37,4,5,11,4,6,8,45,45,94,72,96,166,8.9,13.3,8.5,34.1,28.1,32.6,29.5,26.3,30.9,3,0,5,0,3,3,4,12,11,15,32,44,30,7,34,0,0,0,0,4,5,33,10,43,92,131,219,32,24,61,64,82,144,54,68,124
SSC50486,60,59,122,31,14,49,0,9,11,0,0,0,3,3,8,39,24,64,24,34,52,7.7,12.5,12.5,65,40.7,52.5,51.7,39,49.2,0,0,0,0,0,0,0,3,6,0,0,7,15,3,15,0,3,3,3,0,3,18,3,21,62,62,124,8,10,20,52,49,104,16,13,32
SSC50487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50488,9,7,16,9,3,12,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,100,42.9,75,100,42.9,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,7,16,0,0,0,9,7,16,0,0,0
SSC50489,6,5,11,8,0,8,0,0,5,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,116.7,0,63.6,133.3,0,118.2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,10,12,4,0,3,6,7,12
SSC50490,1902,2235,4135,530,290,816,147,348,501,60,27,90,89,74,156,825,742,1565,932,1347,2276,10.8,10,10,43.4,33.2,37.8,38.7,29.8,34,15,16,38,14,20,34,117,162,278,129,202,336,550,211,759,12,35,45,30,50,74,586,293,880,1607,1891,3493,305,355,662,979,1120,2103,915,1076,1989
SSC50491,872,990,1866,310,174,487,83,194,278,37,30,64,30,7,43,463,404,871,279,449,735,6.5,1.7,4.9,53.1,40.8,46.7,49.3,40.2,44.4,5,6,15,5,16,14,54,87,140,41,77,115,205,90,293,3,27,36,16,33,44,224,150,374,685,761,1446,170,195,366,448,491,934,369,440,805
SSC50492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50493,32,23,58,18,8,28,0,0,0,0,3,5,0,0,0,20,14,34,0,3,3,0,0,0,62.5,60.9,58.6,56.3,47.8,56.9,0,0,0,0,0,0,0,4,5,4,0,4,3,0,3,0,0,0,0,5,5,7,4,10,7,15,25,13,5,15,3,12,10,20,9,26
SSC50494,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC50495,16,14,24,6,0,10,4,3,5,0,0,0,0,0,0,10,8,16,7,4,10,0,0,0,62.5,57.1,66.7,62.5,21.4,62.5,0,0,0,0,0,0,0,0,4,4,0,4,3,3,9,0,0,0,0,0,0,3,4,9,17,18,30,0,0,0,14,6,18,3,5,8
SSC50496,1019,959,1981,516,291,811,120,283,406,63,50,113,31,26,56,737,649,1384,198,225,418,4.2,4,4,72.3,67.7,69.9,68.6,65.1,67.1,15,26,38,7,20,32,77,144,220,76,96,172,374,109,482,22,27,47,26,39,60,414,173,592,933,847,1776,227,229,455,524,440,960,569,571,1141
SSC50497,23,12,35,11,6,14,0,0,0,5,0,5,0,0,0,12,5,21,5,3,13,0,0,0,52.2,41.7,60,69.6,50,54.3,0,0,0,0,0,0,0,0,9,0,0,0,8,0,9,0,0,0,0,0,3,5,3,11,17,10,20,7,7,8,15,6,23,4,4,10
SSC50498,18,20,37,6,0,11,0,6,4,0,0,3,0,0,0,10,8,17,8,10,19,0,0,0,55.6,40,45.9,33.3,30,48.6,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,17,10,28,6,5,16,8,6,14,10,9,26
SSC50499,2119,2213,4335,693,412,1105,253,512,759,86,75,154,146,119,265,1177,1109,2285,817,994,1814,12.4,10.7,11.6,55.5,50.1,52.7,48.7,45.1,46.6,20,27,48,17,38,49,147,229,373,164,225,392,696,301,997,25,39,62,33,79,105,755,408,1161,1922,1942,3860,407,440,842,1205,1125,2330,1097,1208,2302
SSC50500,103,93,188,35,18,55,22,34,57,3,3,5,0,0,0,58,57,117,29,18,46,0,0,0,56.3,61.3,62.2,58.3,59.1,62.2,3,0,4,7,4,11,7,15,29,4,12,14,19,12,32,0,3,0,0,0,3,22,14,37,99,91,190,3,8,9,85,74,158,16,23,32
SSC50501,1746,1875,3620,788,438,1222,208,453,660,55,50,105,92,82,177,1140,1023,2163,517,771,1295,8.1,8,8.2,65.3,54.6,59.8,60.2,50.2,54.9,64,64,125,28,51,76,259,310,572,132,190,325,440,196,637,12,29,41,25,36,66,483,262,741,1715,1772,3489,248,267,516,1149,1215,2367,720,737,1454
SSC50502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50506,479,527,1007,164,150,312,20,37,55,18,16,31,30,21,43,234,212,444,185,227,407,12.8,9.9,9.7,48.9,40.2,44.1,42.2,38.5,39.5,7,20,21,3,7,13,22,69,92,17,24,42,62,24,87,11,16,25,0,0,0,69,38,112,441,449,886,110,119,232,308,282,596,199,236,434
SSC50507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50508,2892,3081,5974,1478,679,2152,481,1061,1539,50,106,155,110,102,208,2115,1939,4052,663,1048,1715,5.2,5.3,5.1,73.1,62.9,67.8,69.5,59.9,64.4,406,286,697,112,176,280,988,1062,2049,230,321,547,256,94,348,12,27,45,15,44,58,290,163,456,3110,3223,6335,519,553,1073,2208,2270,4477,1320,1362,2685
SSC50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50510,112,112,225,46,27,77,27,34,64,5,7,8,0,0,0,75,71,149,25,27,48,0,0,0,67,63.4,66.2,69.6,60.7,66.2,0,0,3,3,4,4,17,28,49,0,13,14,30,12,39,0,0,0,0,0,0,28,13,42,96,100,194,20,15,32,72,64,132,38,39,75
SSC50511,102,25,122,9,3,17,3,9,15,0,0,0,0,0,0,21,14,28,84,6,93,0,0,0,20.6,56,23,11.8,48,26.2,0,0,0,0,0,0,3,3,3,0,4,4,4,6,13,0,0,0,0,0,0,4,6,13,36,30,61,0,0,0,22,28,53,5,4,14
SSC50512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50513,11,18,26,10,6,15,0,3,5,0,0,0,3,0,3,10,5,20,0,7,14,30,0,15,90.9,27.8,76.9,90.9,50,76.9,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,8,0,10,20,16,40,0,0,4,11,13,27,7,3,16
SSC50514,40,6,45,29,4,33,0,0,0,4,0,4,0,0,0,35,4,34,0,0,0,0,0,0,87.5,66.7,75.6,82.5,66.7,82.2,0,0,0,0,0,0,5,0,8,0,0,0,10,0,17,0,0,0,0,0,0,16,0,14,23,3,29,8,0,11,5,0,13,27,3,29
SSC50515,447,423,868,209,95,305,57,127,181,16,12,24,23,16,44,305,246,551,120,148,268,7.5,6.5,8,68.2,58.2,63.5,63.1,55.3,58.8,6,8,17,6,7,15,38,40,82,19,47,69,130,41,170,4,4,11,4,14,19,135,62,200,455,422,879,55,52,105,334,300,630,159,162,312
SSC50516,5100,5273,10373,2577,1361,3937,561,1234,1802,174,184,357,284,228,510,3598,3010,6610,1167,1905,3075,7.9,7.6,7.7,70.5,57.1,63.7,64.9,52.7,58.8,77,76,154,37,70,112,341,529,871,334,474,811,1549,668,2222,52,97,150,91,149,241,1696,920,2609,4951,5048,10001,745,774,1522,3240,3326,6573,2224,2293,4520
SSC50517,20,20,40,4,5,9,0,0,3,0,0,3,3,0,3,9,5,12,6,12,22,33.3,0,25,45,25,30,20,25,37.5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,5,0,5,5,3,10,17,14,27,6,3,7,11,9,20,7,6,15
SSC50518,158,143,299,87,46,137,8,37,48,5,3,13,7,4,9,104,92,201,29,29,59,6.7,4.3,4.5,65.8,64.3,67.2,63.3,60.1,66.2,0,0,0,0,3,3,4,19,21,12,16,29,25,22,46,0,7,11,5,3,8,31,33,61,143,138,283,17,12,32,99,80,179,59,62,117
SSC50519,43,7,48,17,3,23,0,0,0,0,0,0,0,0,0,20,3,19,5,0,5,0,0,0,46.5,42.9,39.6,39.5,42.9,47.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,16,0,16,9,0,9,16,3,17,3,0,3,22,3,21
SSC50520,3589,3755,7343,1422,1008,2430,509,899,1410,99,122,222,201,134,335,2229,2164,4396,917,1159,2072,9,6.2,7.6,62.1,57.6,59.9,56.6,54,55.3,323,369,696,99,201,302,729,977,1711,311,335,646,543,232,774,18,26,45,51,34,81,610,292,897,2650,2830,5481,748,781,1528,1566,1710,3278,1778,1844,3622
SSC50521,483,437,925,103,71,171,38,81,121,19,8,25,36,15,54,196,175,366,241,231,474,18.4,8.6,14.8,40.6,40,39.6,33.1,36.6,34.3,4,4,11,0,0,0,7,26,32,16,18,34,140,46,183,4,12,16,9,13,20,150,72,220,420,363,781,56,66,124,297,266,566,164,164,325
SSC50522,3,3,8,6,0,6,0,0,0,0,0,3,0,0,0,3,0,8,0,3,3,0,0,0,100,0,100,200,0,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,0,0,0,7,3,9,0,0,0
SSC50523,285,255,541,93,30,123,34,55,97,16,8,22,18,5,21,157,106,260,108,146,254,11.5,4.7,8.1,55.1,41.6,48.1,50.2,36.5,44.7,0,4,4,0,0,0,4,17,25,13,14,27,105,31,132,6,8,10,3,9,6,112,45,153,309,280,588,19,12,37,215,184,400,97,93,197
SSC50524,20,18,45,15,13,23,0,0,3,0,0,0,0,0,3,18,13,31,7,8,10,0,0,9.7,90,72.2,68.9,75,72.2,57.8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,5,8,27,21,44,0,8,9,23,14,38,5,8,10
SSC50525,50,36,86,35,13,42,8,12,16,0,0,0,0,0,0,41,30,63,3,7,8,0,0,0,82,83.3,73.3,86,69.4,67.4,0,0,0,0,0,0,0,3,8,0,6,7,6,5,15,0,3,3,0,0,0,9,6,16,52,36,86,7,3,12,42,26,67,15,10,24
SSC50526,54,20,77,20,6,30,4,3,8,0,0,0,0,3,4,26,16,39,4,7,7,0,18.8,10.3,48.1,80,50.6,44.4,45,49.4,0,0,0,0,0,0,0,3,3,0,0,4,7,0,8,0,0,0,0,0,0,7,0,8,15,16,32,11,4,17,8,9,18,18,11,32
SSC50527,590,126,720,297,61,358,11,0,11,9,7,17,0,0,0,321,61,383,0,0,3,0,0,0,54.4,48.4,53.2,53.7,54,53.6,6,0,7,3,0,4,27,9,34,26,7,33,121,20,142,12,3,15,0,0,3,137,25,166,157,29,189,154,31,190,49,0,49,276,65,337
SSC50528,43,25,63,14,5,16,3,4,6,0,0,3,10,3,12,25,14,40,6,7,17,40,21.4,30,58.1,56,63.5,39.5,36,39.7,0,3,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,7,0,6,34,23,51,10,3,13,25,16,42,17,5,25
SSC50529,68,48,111,13,6,17,4,5,9,3,0,3,3,0,6,22,12,33,29,27,57,13.6,0,18.2,32.4,25,29.7,29.4,22.9,26.1,0,0,0,0,3,3,0,3,3,3,0,3,10,3,14,0,3,3,0,0,0,10,3,19,61,52,122,16,12,30,47,43,85,26,18,47
