SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC51481,0,0,0,15,17,10,6,14,8,74
SSC51482,0,0,0,4,8,0,0,3,0,18
SSC51483,0,0,0,3,10,8,4,7,0,27
SSC51484,0,0,0,45,16,5,3,62,12,149
SSC51485,0,0,0,4,8,3,8,0,3,29
SSC51486,4,0,16,353,474,273,201,357,161,1812
SSC51487,28,7,58,217,280,183,164,251,170,1261
SSC51488,60,35,170,1973,2488,1232,1036,2185,809,9722
SSC51489,0,0,0,8,9,5,8,5,5,42
SSC51490,0,0,0,13,7,3,6,0,8,42
SSC51491,0,0,3,44,51,21,31,41,33,217
SSC51492,0,0,0,0,0,0,0,0,0,0
SSC51493,0,0,0,0,0,0,0,0,0,0
SSC51494,4,0,15,150,223,102,106,111,49,748
SSC51495,0,0,0,3,8,6,5,4,0,34
SSC51496,0,3,6,58,112,40,61,81,39,383
SSC51497,0,0,0,21,18,12,14,10,12,77
SSC51498,0,0,0,6,12,3,6,7,3,32
SSC51499,0,0,0,0,0,0,0,0,0,0
SSC51500,0,0,0,5,3,6,5,3,0,23
SSC51501,0,0,0,4,6,3,3,3,0,18
SSC51502,0,0,0,0,3,0,0,0,0,5
SSC51503,0,0,3,34,57,31,30,49,31,240
SSC51504,0,0,8,565,678,234,222,403,156,2257
SSC51505,0,0,0,6,12,10,4,9,6,54
SSC51506,8,3,14,655,869,365,343,569,217,3021
SSC51507,0,3,3,18,37,15,17,25,17,121
SSC51508,0,0,0,9,6,0,0,13,7,38
SSC51509,0,0,0,20,24,19,10,19,11,103
SSC51510,17,5,36,558,746,339,380,668,253,2947
SSC51511,203,71,353,2152,2613,1118,951,2345,775,9948
SSC51512,0,0,0,8,7,3,4,4,0,33
SSC51513,0,0,0,22,30,23,15,18,13,126
SSC51514,0,0,3,133,93,41,34,67,82,453
SSC51515,0,0,0,3,3,3,0,0,6,16
SSC51516,0,0,0,11,13,3,3,3,0,30
SSC51517,0,0,0,140,58,11,0,39,21,270
SSC51518,45,21,101,1715,2152,1055,979,1870,802,8564
SSC51519,0,0,0,7,11,10,5,8,3,41
SSC51520,23,33,85,376,549,310,333,459,347,2385
SSC51521,0,0,0,6,3,0,0,3,0,13
SSC51522,0,0,0,17,14,4,0,7,7,59
