SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC50937,36,1524,614,320,1334,0.8,1067,2.1
SSC50938,39,1517,490,282,1176,0.8,973,2.4
SSC50939,39,0,900,93,2031,1,1781,2.7
SSC50940,30,2392,1259,270,2833,0.8,2421,2.7
SSC50941,29,2167,845,395,2070,0.7,2006,3
SSC50942,44,1896,646,250,1774,0.8,1625,3
SSC50943,46,1900,620,325,1895,0.8,2013,3
SSC50944,45,0,949,0,2750,0,2749,1.7
SSC50945,27,0,1333,140,0,1,1416,2
SSC50946,36,0,774,0,0,0,2166,0
SSC50947,47,1700,565,300,1449,0.7,1145,2.5
SSC50948,27,0,880,0,0,0,0,4
SSC50949,40,0,900,55,1625,0.6,1312,1.9
SSC50950,42,2383,772,520,2412,0.8,2268,3
SSC50951,38,2017,883,0,1625,0,1625,2
SSC50952,35,0,687,0,1875,0.6,1625,2.2
SSC50953,50,1127,568,110,1218,0.7,1034,2
SSC50954,37,0,1062,200,1916,0.5,1583,2
SSC50955,43,0,949,0,0,0,0,2
SSC50956,31,2000,710,0,2083,1,2083,3.3
SSC50957,48,0,725,0,1375,0.4,1083,1.7
SSC50958,52,0,850,285,1656,1,1187,2
SSC50959,43,1600,692,290,1820,0.7,1203,2.2
SSC50960,32,1600,433,300,1192,1,1094,3.2
SSC50961,30,0,239,0,0,0,0,1
SSC50962,49,0,599,0,1125,0.6,924,2
SSC50963,40,0,820,110,1625,0.7,1312,2.8
SSC50964,50,867,550,175,1375,0.7,1312,1.9
SSC50965,50,1741,519,216,1281,0.7,974,2.6
SSC50966,47,0,518,0,1125,0.6,725,1.9
SSC50967,34,0,575,0,2750,0.7,1687,3.5
SSC50968,63,618,494,250,1166,0.6,824,1.7
SSC50969,39,0,1062,0,2625,0.5,2625,2
SSC50970,45,2000,672,250,1656,0.7,1631,2.8
SSC50971,53,0,466,30,1125,0.5,900,1.9
SSC50972,31,1133,593,0,1625,1,1125,2.8
SSC50973,54,2200,456,300,1125,0.7,939,2.4
SSC50974,35,0,575,0,1125,1.4,1166,2.2
SSC50975,58,1679,510,0,900,0.6,849,2
SSC50976,42,0,924,0,1875,0.8,1562,0
SSC50977,43,1950,725,73,1821,0.8,1531,2.8
SSC50978,41,1114,659,200,1663,0.7,1315,2.4
SSC50979,0,0,0,0,0,0,0,0
SSC50980,37,0,1325,0,0,1,0,4
SSC50981,49,0,725,0,1541,0.5,1218,2.3
SSC50982,46,1893,614,305,1625,0.7,1381,2.5
SSC50983,40,621,540,192,1390,0.7,1092,2.1
SSC50984,55,2050,725,0,2249,0.4,1249,1.5
SSC50985,50,0,474,0,1187,0.6,450,1
SSC50986,43,2167,805,350,2051,0.7,1921,2.8
SSC50987,38,1496,677,200,1488,0.8,1166,2.2
SSC50988,37,1900,625,380,1568,0.8,1383,2.6
SSC50989,32,0,462,0,1375,1,1562,2
SSC50990,40,2700,894,320,2887,0.8,1864,2.4
SSC50991,33,0,725,0,1562,0.5,1375,2.5
SSC50992,52,0,575,0,1649,0.8,899,3
SSC50993,0,0,0,0,0,0,0,0
SSC50994,45,1200,534,210,1254,0.8,1004,2.4
SSC50995,28,0,437,168,0,1,0,5
SSC50996,21,0,417,165,725,1.3,634,2.8
SSC50997,34,0,575,0,0,0,824,0
SSC50998,44,3000,814,475,3292,0.8,2138,2.7
SSC50999,43,1918,636,277,1795,0.7,1172,2
SSC51000,47,1733,450,280,1125,0.7,982,2.6
SSC51001,23,0,0,0,0,0,0,0
SSC51002,52,0,774,0,1458,0.4,1292,2.7
SSC51003,51,2000,521,255,1850,0.7,1375,2.4
SSC51004,24,0,379,100,1096,1.3,1366,4.2
SSC51005,36,2500,1066,425,2874,0.9,2344,2.6
SSC51006,40,2100,693,375,1977,0.8,1772,2.8
SSC51007,48,1367,524,0,949,1.2,1292,2.4
SSC51008,0,0,0,0,0,0,0,0
SSC51009,31,0,900,0,1458,1.2,1416,4.1
SSC51010,0,0,0,0,0,0,0,0
SSC51011,36,2167,932,370,2555,0.8,1893,2.3
SSC51012,0,0,0,0,0,0,0,0
