SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50629,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,11,6,5,5,10,0,18,0,51
SSC50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,46,0,54
SSC50631,11,28,32,30,74,76,33,52,6,333,17,26,13,15,45,70,30,34,35,288,232,564,467,674,1145,1179,598,1011,90,5961
SSC50632,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,5,7,12,7,30,11,31,0,123
SSC50633,0,5,3,0,4,11,4,15,0,47,3,9,3,4,8,14,7,7,3,60,40,111,133,110,243,263,163,266,17,1339
SSC50634,3,4,3,3,8,11,3,3,0,37,3,3,0,3,9,5,0,7,13,41,40,72,64,85,200,143,67,125,19,807
SSC50635,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,3,10,4,4,3,6,4,31,0,67
SSC50636,6,31,17,21,24,23,17,37,0,173,6,30,24,21,30,40,17,28,21,222,188,834,687,608,742,1011,498,901,50,5527
SSC50637,0,6,3,3,5,13,0,8,0,32,0,3,4,4,7,3,6,4,15,45,32,75,66,68,135,137,74,114,19,705
SSC50638,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,9,3,8,0,33
SSC50639,0,4,12,5,11,10,10,5,0,61,0,16,4,4,17,10,3,14,8,73,81,216,214,224,304,318,180,239,20,1795
SSC50640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,15
SSC50641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,6,0,27
SSC50642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,4,0,16,0,36
SSC50643,3,18,15,18,33,25,19,25,0,159,8,12,10,8,22,43,17,9,17,147,122,393,318,344,547,618,297,454,31,3124
SSC50644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,7,10,5,12,0,57
SSC50645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,3,0,12
SSC50646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,9,0,16
SSC50648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,11,3,23
SSC50649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,9
SSC50650,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,3,0,30
SSC50651,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,6,0,3,0,21,7,15,16,16,18,22,20,45,3,163
SSC50652,0,3,0,0,0,6,0,4,0,7,0,0,3,0,0,3,0,3,0,11,20,33,35,21,23,28,23,123,5,311
SSC50653,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,12,11,10,6,11,9,7,0,63
SSC50654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50655,0,0,0,0,0,5,0,3,0,12,0,4,4,0,3,0,0,3,3,16,10,59,46,44,47,56,32,61,5,352
SSC50656,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,8,4,9,15,8,8,0,64
SSC50657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,16,0,23
SSC50658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,4,0,23
SSC50659,3,30,11,11,48,43,14,30,7,189,3,18,15,20,41,49,19,21,34,230,160,473,405,467,876,804,351,531,83,4140
SSC50660,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,5,0,0,3,8,6,17,18,18,19,26,24,77,3,214
SSC50661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,17
SSC50662,3,24,11,14,8,21,11,14,0,96,3,21,12,8,11,35,3,23,15,132,88,433,322,326,386,582,264,478,33,2902
SSC50663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,15,0,18
SSC50664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC50665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,10,0,17
SSC50666,7,13,14,9,22,19,14,17,0,110,3,18,11,7,10,24,13,16,10,107,114,370,329,320,506,566,311,467,31,3019
SSC50667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,12
SSC50668,11,20,14,27,31,30,13,22,3,169,3,20,11,12,31,31,11,36,36,189,178,407,361,446,837,969,508,710,57,4482
SSC50669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,9
SSC50670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,8,6,3,6,0,33
SSC50671,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,3,7,6,9,8,0,8,7,44
SSC50672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,5,3,9,0,27
SSC50674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,10,3,14,3,39
SSC50675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,7,6,10,0,30
SSC50676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,9,3,6,3,34
SSC50677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,14
SSC50678,0,0,0,4,0,0,0,0,3,12,0,0,0,0,3,3,3,0,0,12,3,15,12,18,20,27,9,30,9,154
SSC50679,3,6,3,8,11,8,3,10,0,53,3,13,3,10,4,14,3,10,12,67,45,184,125,156,212,240,122,236,21,1345
SSC50680,3,16,4,12,23,17,3,10,0,86,4,14,4,3,18,8,9,12,13,80,59,240,183,199,345,352,180,306,28,1903
SSC50681,0,0,0,0,0,4,0,0,0,8,0,3,0,0,0,0,0,3,0,5,0,15,10,11,8,15,7,18,4,97
SSC50682,0,5,0,3,3,3,0,3,0,15,0,3,4,0,11,7,0,4,0,32,39,59,62,63,81,92,37,104,5,544
SSC50683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50684,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7,6,9,8,8,4,10,6,26,3,84
SSC50685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,7,0,9,0,26
SSC50686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,17,0,36
SSC50687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,8,0,3,6,60,0,96
SSC50688,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,9,18,11,16,21,31,21,53,3,179
