SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC50423,62,120,0,3,0,0,0,4,36,139,41,151,0,3,0,0,7,11,10,18,44,168,0,9,0,0,0,4,10,21,11,30,0,3,0,3,7,11,8,18,14,47,3,0,124,343
SSC50424,5,9,0,0,0,7,0,5,0,4,4,13,0,3,0,0,3,4,4,9,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29
SSC50425,167,321,0,3,23,103,4,14,125,473,149,598,9,26,14,35,19,48,37,114,190,708,0,0,6,24,0,3,20,68,27,100,0,4,8,11,15,31,23,40,50,139,0,3,403,1167
SSC50426,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50427,0,7,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
SSC50428,0,0,0,0,0,0,0,0,8,27,8,27,0,0,0,0,0,0,0,0,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27
SSC50429,10,22,0,0,0,3,0,0,8,29,8,31,0,0,0,0,0,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,56
SSC50430,944,1836,9,70,43,190,21,86,266,970,340,1313,20,88,38,109,95,281,154,486,493,1800,4,17,29,94,11,35,97,261,138,404,11,43,19,39,113,237,144,321,282,725,17,42,1740,4404
SSC50431,4,9,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,3,0,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27
SSC50432,6,12,0,0,0,0,0,0,0,7,0,7,0,4,3,3,3,0,3,8,7,16,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,0,4,0,8,0,0,15,32
SSC50433,3,10,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
SSC50434,40,77,0,0,0,8,3,18,7,33,12,52,0,3,0,3,8,17,10,17,23,71,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,10,3,10,4,15,0,0,68,163
SSC50435,22,39,0,0,0,0,0,4,8,18,9,29,0,3,3,14,8,16,8,34,14,61,0,0,0,0,0,0,5,6,5,6,0,0,0,0,3,0,3,0,3,11,0,0,43,108
SSC50436,45,87,0,0,0,0,0,0,17,70,17,70,0,0,0,3,3,8,5,11,22,86,0,0,0,0,0,0,3,4,3,4,0,0,0,0,3,3,0,7,3,13,0,0,77,183
SSC50437,1514,2973,14,83,225,1019,28,140,1263,4985,1537,6226,141,565,252,853,417,1288,806,2703,2337,8930,3,19,36,120,8,27,144,355,198,529,30,97,59,134,161,334,252,569,447,1099,59,127,4358,13127
SSC50438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50439,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
SSC50440,571,1111,9,41,42,177,13,62,497,1882,569,2156,13,49,31,102,52,157,97,307,669,2460,3,9,16,63,4,11,84,206,106,282,4,13,19,31,39,69,60,117,172,402,10,16,1416,3984
SSC50441,14,32,0,0,0,0,0,11,10,34,6,42,0,0,0,0,0,7,0,7,10,44,0,3,0,7,0,0,0,9,3,17,0,0,0,0,3,7,3,10,10,24,0,3,37,109
SSC50442,5,13,0,0,0,0,0,0,8,24,8,22,0,0,0,0,0,0,0,0,8,22,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,3,0,3,4,12,0,3,21,52
SSC50443,0,3,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,13
SSC50444,3,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,6,9
SSC50445,68,132,0,4,0,5,3,16,29,134,35,154,4,3,4,7,12,28,18,39,53,199,0,0,0,3,3,6,5,18,7,27,0,4,3,12,8,13,11,25,21,57,0,3,145,388
SSC50446,16,40,0,0,0,0,0,0,5,7,5,7,0,0,0,7,0,0,4,5,3,14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,21,56
SSC50447,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,5,3,5,5,6,7,14,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,19
SSC50448,6,12,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,6,0,6,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,35
SSC50449,12,28,0,3,0,0,0,0,5,19,10,31,0,0,0,0,3,4,3,4,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62
SSC50450,6,18,0,0,0,0,0,5,0,3,3,7,0,3,0,0,3,8,3,10,8,22,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,18,44
SSC50451,513,1016,4,19,29,123,5,30,198,751,234,921,18,67,18,52,86,240,116,365,352,1284,0,6,8,37,7,15,81,216,97,268,3,12,14,30,74,157,89,198,192,463,21,37,1076,2799
SSC50452,470,952,11,84,42,216,18,89,420,1607,499,1997,28,106,40,132,110,348,179,592,675,2588,4,13,6,32,10,26,70,206,90,273,12,48,20,46,68,138,101,236,187,507,44,96,1379,4143
SSC50453,93,176,3,15,4,29,7,29,58,233,70,298,0,0,3,9,12,47,21,57,94,356,0,0,0,5,3,12,18,52,20,73,0,0,3,4,12,18,12,22,31,94,3,4,221,633
SSC50454,3,9,0,0,0,6,0,0,0,14,4,18,0,0,0,4,0,0,0,4,3,17,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,12,33
SSC50455,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,11
SSC50456,755,1462,11,64,103,446,9,36,514,1947,634,2491,62,244,128,439,128,399,316,1084,949,3579,4,9,24,70,4,15,81,193,109,285,8,19,42,87,73,160,123,262,231,549,27,46,1955,5636
SSC50457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50458,3,8,0,4,0,0,0,0,3,24,7,29,0,0,0,0,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39
SSC50459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC50460,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC50461,6,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
SSC50462,0,3,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
SSC50463,1629,3156,3,8,12,52,4,19,347,1103,367,1188,14,46,54,178,80,232,151,455,511,1645,0,0,6,27,4,6,57,124,62,156,3,12,23,59,64,130,93,200,158,356,89,196,2396,5342
SSC50464,39,82,0,0,7,11,0,0,13,58,18,76,0,8,0,0,3,10,10,19,25,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,171
SSC50465,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
SSC50466,37,67,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,4,7,0,0,3,5,0,0,3,8,4,20,0,0,0,0,4,9,4,9,10,21,0,3,48,105
SSC50467,1105,2154,11,60,77,337,9,41,671,2457,770,2901,28,121,76,266,88,269,199,653,968,3550,3,17,20,72,7,22,128,321,154,428,16,53,47,94,116,242,170,393,331,821,86,178,2479,6698
SSC50468,8,13,0,0,0,0,0,0,3,8,3,8,0,0,0,0,4,9,4,9,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,13,26
SSC50469,0,6,0,0,0,0,0,0,3,17,3,17,0,0,0,3,0,7,4,7,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32
SSC50470,20,36,0,0,0,7,0,0,8,39,10,43,0,0,0,3,0,8,3,8,13,55,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,8,0,0,32,95
SSC50471,946,1841,17,90,90,387,43,211,538,2091,693,2777,41,172,55,180,159,492,263,851,952,3628,11,41,17,68,19,73,161,422,212,596,18,53,38,86,108,222,159,362,372,958,26,53,2294,6477
SSC50472,365,720,7,32,25,122,10,44,217,816,256,1009,19,66,23,71,91,294,131,433,390,1447,0,12,12,33,12,45,63,168,82,262,4,22,10,28,79,176,97,223,178,481,22,45,951,2692
SSC50473,500,990,4,21,50,245,11,44,329,1254,393,1557,43,174,57,194,134,400,232,760,632,2321,3,11,8,20,3,18,47,137,63,189,10,36,23,61,55,124,91,214,156,401,15,29,1299,3736
SSC50474,9,15,0,0,0,0,0,0,3,22,3,22,0,0,0,0,0,3,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38
SSC50475,177,340,0,16,20,95,3,17,156,580,185,708,12,37,14,40,27,81,46,158,235,862,0,0,3,13,0,3,46,113,50,122,3,3,3,11,13,19,14,33,65,160,0,3,475,1366
SSC50476,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,8,0,0,25,52
SSC50477,0,3,0,3,0,3,0,0,3,7,3,12,0,3,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20
SSC50478,0,3,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,3,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
SSC50479,23,40,0,0,0,0,0,0,10,28,10,28,0,3,0,0,4,14,3,14,12,38,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,3,0,3,7,13,0,0,34,93
SSC50480,56,107,3,9,3,17,3,19,24,80,32,121,0,0,3,15,13,39,13,51,43,174,0,0,0,0,0,0,4,8,6,14,0,0,4,4,5,4,6,10,13,27,0,0,110,309
SSC50481,1744,3411,53,305,325,1549,97,453,2066,7928,2548,10242,132,559,145,473,289,921,565,1953,3110,12192,25,114,109,424,46,175,534,1519,710,2231,42,135,90,212,239,506,373,853,1086,3085,60,122,5996,18808
SSC50482,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
SSC50483,286,573,4,20,34,135,9,34,196,715,237,906,16,73,21,76,61,183,102,334,341,1236,5,14,13,41,3,10,44,116,60,180,5,18,18,30,64,150,83,202,146,383,15,31,786,2221
SSC50484,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SSC50485,31,65,0,0,0,4,0,0,4,21,8,25,0,0,3,3,0,4,3,11,10,38,0,0,0,0,0,0,4,14,4,19,0,0,0,3,3,7,5,11,8,27,0,0,48,125
SSC50486,19,39,0,0,3,10,0,0,11,31,12,44,0,0,0,4,0,4,3,5,18,55,0,0,0,0,0,0,3,8,3,10,0,0,0,0,0,0,0,0,3,10,0,0,42,111
SSC50487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50488,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,3,5,0,0,4,16
SSC50489,0,3,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,3,0,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
SSC50490,851,1671,6,42,35,164,10,48,164,628,222,881,17,59,22,75,81,243,123,376,342,1252,0,6,10,33,7,15,60,163,70,209,3,12,14,25,49,111,65,151,142,356,10,21,1343,3297
SSC50491,214,406,4,25,15,63,3,16,72,281,96,385,5,27,5,26,19,55,29,107,126,490,0,0,3,13,0,3,44,113,48,124,0,3,9,8,31,72,42,83,83,210,12,29,441,1135
SSC50492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50493,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,21
SSC50494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50495,4,7,0,0,0,0,0,7,3,11,4,12,0,0,0,0,0,4,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29
SSC50496,278,526,3,18,23,105,9,28,189,716,223,862,7,35,13,35,31,83,45,155,271,1011,0,0,5,24,0,8,37,107,49,131,0,3,4,13,15,33,24,50,68,185,7,14,625,1743
SSC50497,0,4,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,12
SSC50498,8,14,0,0,0,0,0,0,3,13,3,13,0,0,0,4,3,6,3,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37
SSC50499,706,1372,6,47,50,237,18,68,235,890,309,1242,26,94,38,119,110,355,176,567,481,1811,4,13,15,64,3,16,117,296,143,394,4,21,28,60,72,156,110,242,252,637,17,31,1455,3854
SSC50500,37,70,0,3,3,6,0,4,16,56,18,68,0,0,3,9,3,8,10,16,25,87,0,0,0,3,0,0,0,6,7,7,4,9,0,0,3,7,3,14,6,22,0,0,66,179
SSC50501,484,953,6,43,29,137,13,55,280,1037,328,1276,20,81,34,103,100,307,148,488,478,1764,0,0,9,36,0,3,66,184,74,224,6,17,14,39,73,152,96,206,174,431,27,68,1161,3217
SSC50502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50506,70,143,4,16,3,14,9,48,58,248,74,329,0,8,0,0,12,44,14,49,86,382,7,21,0,6,9,38,42,127,54,192,3,4,0,8,21,51,22,63,84,257,13,37,256,815
SSC50507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50508,589,1150,17,75,147,652,16,58,710,2868,883,3658,96,407,166,586,150,457,416,1456,1302,5107,3,16,22,63,3,8,60,159,84,246,13,47,31,69,80,179,122,296,207,546,22,43,2115,6851
SSC50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50510,42,90,0,0,3,7,0,7,13,41,16,54,0,3,3,3,4,6,7,18,20,74,0,0,0,3,0,0,3,4,4,3,0,0,0,0,3,3,3,3,3,14,0,0,69,171
SSC50511,9,17,0,0,3,12,0,0,4,15,3,26,0,0,0,3,0,3,0,9,5,34,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,3,3,3,0,0,19,54
SSC50512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50513,4,11,0,0,0,0,0,0,3,11,3,11,0,0,0,6,0,6,5,8,7,22,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,12,41
SSC50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50515,111,218,3,13,18,85,7,23,62,238,87,364,6,28,11,28,34,116,52,172,141,535,0,0,4,16,0,0,20,54,23,67,0,3,3,6,25,55,25,65,52,128,3,4,301,893
SSC50516,1349,2626,33,185,116,546,70,319,771,2918,989,3973,75,329,68,240,320,1003,467,1574,1459,5547,8,51,55,193,24,69,220,610,301,918,35,107,41,90,233,505,309,701,607,1617,65,137,3480,9927
SSC50517,3,9,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,28
SSC50518,42,84,0,0,3,5,4,12,27,110,35,126,0,0,0,3,4,13,7,15,41,143,0,0,0,0,0,0,3,5,3,5,0,0,0,0,3,5,3,5,7,11,0,0,87,232
SSC50519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50520,961,1863,5,20,46,186,10,43,346,1248,405,1493,29,110,75,240,93,281,202,632,601,2130,0,5,25,74,3,18,101,223,131,317,11,21,48,97,99,198,156,318,286,632,42,82,1890,4712
SSC50521,159,305,0,13,6,41,4,14,24,82,39,154,7,25,6,12,14,38,27,75,60,230,0,0,4,4,0,4,18,50,24,62,0,3,8,16,16,39,26,54,48,115,3,8,272,660
SSC50522,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
SSC50523,112,219,0,0,5,18,3,12,35,148,41,175,3,11,4,14,21,60,33,88,71,260,3,8,0,4,0,6,5,17,15,33,0,0,0,3,5,5,4,13,17,43,0,0,202,526
SSC50524,10,24,0,0,0,0,0,0,3,20,3,20,0,0,0,0,0,3,0,3,4,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,14,44
SSC50525,11,23,0,0,0,8,0,0,7,25,5,33,4,5,0,0,0,9,7,12,12,43,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,6,0,6,5,11,0,0,33,82
SSC50526,11,24,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,3,0,3,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,13,36
SSC50527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50528,9,11,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,6,3,6,0,4,0,3,3,7,3,6,3,17,0,4,19,41
SSC50529,3,5,0,0,3,12,0,9,12,43,13,64,0,0,0,3,0,0,0,3,15,66,0,0,0,0,0,0,11,41,11,41,0,0,0,0,3,7,3,7,15,51,0,0,31,120
SSC50530,0,0,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC50531,240,482,6,27,44,200,15,65,146,576,209,858,16,66,53,163,67,195,132,431,342,1290,0,3,4,25,0,4,8,31,21,63,0,7,3,3,18,43,28,52,44,118,0,6,634,1894
SSC50532,463,908,3,34,31,125,13,46,165,652,217,863,13,58,23,85,54,160,97,293,309,1156,0,8,18,62,6,34,85,253,110,360,3,14,16,27,44,89,60,133,175,491,4,11,949,2569
SSC50533,9,18,0,0,0,4,0,5,10,29,7,37,0,0,0,3,0,0,0,3,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,25,65
SSC50534,337,649,3,11,20,111,7,13,115,438,147,580,8,22,27,77,35,94,61,196,208,771,0,10,14,42,4,8,67,175,86,239,4,15,8,24,46,96,60,130,150,367,9,16,702,1809
SSC50535,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC50536,9,14,0,0,0,0,0,3,9,26,6,32,0,0,0,0,0,0,0,0,13,34,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,0,0,0,3,14,0,0,22,63
SSC50537,37,75,3,12,3,23,5,23,27,105,32,160,4,14,3,6,4,17,12,35,44,196,0,0,0,4,0,4,0,7,3,13,0,0,0,3,0,0,0,3,8,18,0,3,90,284
SSC50538,17,42,0,7,0,8,7,41,11,65,19,123,0,0,0,0,3,19,3,19,28,136,0,0,0,6,3,20,10,34,18,58,0,0,0,0,3,4,3,4,18,60,0,0,63,235
SSC50539,0,3,0,0,0,0,3,9,0,0,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,4,0,10,0,13,0,0,0,0,4,10,4,10,5,19,0,0,11,33
SSC50540,334,648,9,34,48,209,12,49,162,618,226,903,28,110,43,151,90,257,161,522,389,1429,0,0,6,26,0,8,26,60,32,98,0,8,3,13,19,33,26,57,63,155,6,20,785,2248
SSC50541,13,27,0,0,0,0,0,3,4,16,5,29,0,0,0,0,5,6,5,6,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,24,60
SSC50542,3,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
SSC50543,5,13,0,0,0,0,0,3,4,14,4,17,0,0,0,0,3,8,3,8,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36
SSC50544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50546,101,198,0,0,9,46,0,3,59,242,70,295,4,9,6,18,11,36,19,65,91,359,0,5,3,13,0,3,21,58,28,81,0,0,0,3,3,11,7,10,27,85,0,3,228,643
SSC50547,5,7,0,0,0,0,0,5,0,6,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,5,20
SSC50548,598,1211,30,210,96,527,35,152,516,2081,679,2965,43,194,50,163,167,543,261,900,940,3865,9,56,32,128,32,126,220,614,293,921,26,108,47,106,213,480,286,692,582,1615,58,122,2177,6816
SSC50549,113,224,4,22,12,48,0,5,59,244,70,312,3,21,0,3,26,78,34,104,106,416,0,0,3,10,4,9,17,43,18,62,0,6,0,0,15,34,17,37,34,99,3,3,257,746
SSC50550,305,610,8,62,39,176,13,62,188,727,250,1030,23,105,50,158,76,217,150,484,402,1507,3,9,8,14,0,0,30,75,37,96,10,22,15,32,42,81,65,141,100,235,9,11,813,2371
SSC50551,304,593,0,5,39,182,17,68,206,798,265,1057,19,69,24,72,43,126,82,264,346,1323,0,7,20,65,9,46,68,193,96,307,3,8,13,23,44,93,59,126,158,435,11,22,820,2371
SSC50552,8,15,0,0,0,0,0,4,3,9,5,13,0,6,0,0,3,6,4,11,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,39
SSC50553,0,7,0,0,0,6,0,0,0,8,3,10,0,7,0,0,0,4,3,7,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26
