SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC51606,598,1185,11,50,118,538,14,49,333,1304,467,1944,98,394,128,450,239,736,458,1573,924,3521,0,14,13,58,3,15,51,137,73,223,20,61,17,44,60,122,98,227,174,455,35,82,1733,5242
SSC51607,36,74,0,0,0,8,0,0,19,73,24,84,0,4,0,0,3,13,4,21,28,97,0,0,0,0,0,0,3,4,3,5,0,0,0,4,3,11,3,12,12,20,0,0,72,199
SSC51608,276,543,3,24,17,78,4,27,121,451,151,589,10,37,7,34,47,145,65,216,215,804,6,20,13,55,8,40,107,296,133,411,8,20,13,40,66,152,89,202,223,617,18,37,728,1992
SSC51609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51610,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC51611,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51612,21,34,0,7,4,29,0,4,12,48,17,92,0,8,0,9,9,17,13,30,33,126,0,0,0,0,0,0,3,11,3,11,0,0,0,0,5,7,5,7,6,22,3,3,56,183
SSC51613,5,9,0,0,0,3,0,0,6,39,10,38,0,0,0,0,0,0,0,0,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,16,56
SSC51614,4,11,0,0,0,3,0,0,0,3,3,6,0,0,0,0,0,6,0,6,6,11,0,0,0,0,0,0,3,5,3,5,0,0,0,3,0,0,0,3,4,3,0,0,10,28
SSC51615,112,218,0,8,9,31,4,12,70,254,79,298,0,0,6,9,7,30,11,34,90,336,0,5,0,5,0,3,15,57,21,74,3,8,3,6,7,14,12,27,33,99,4,9,242,658
SSC51616,3,3,0,0,0,0,0,0,4,8,4,8,0,0,3,3,0,0,3,3,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23
SSC51617,32,55,0,5,0,9,0,0,0,11,7,27,0,4,0,0,0,3,3,11,12,35,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,5,3,3,44,96
SSC51618,170,346,3,24,10,35,4,32,55,219,79,311,6,19,3,15,32,95,36,126,114,436,0,0,5,27,10,29,36,88,49,149,0,4,4,8,51,115,61,128,109,277,14,26,407,1082
SSC51619,19,43,0,0,0,0,0,0,7,30,7,30,0,0,0,0,5,18,5,18,17,49,0,0,0,0,0,0,7,18,7,18,0,0,0,0,3,4,3,4,6,22,0,0,44,112
SSC51620,124,249,3,13,9,40,3,6,67,241,78,304,9,30,8,37,24,72,40,135,121,438,0,3,5,13,4,9,25,43,27,76,3,3,9,16,11,21,24,45,52,119,11,20,309,826
SSC51621,406,798,5,32,72,322,4,24,283,1130,365,1513,41,161,69,255,73,226,179,642,544,2158,3,3,13,53,3,7,49,116,70,179,3,19,19,42,53,124,84,188,145,368,13,21,1112,3346
SSC51622,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC51623,84,164,3,14,8,47,3,6,40,148,53,207,6,10,3,16,13,39,21,70,70,283,0,0,4,11,0,0,12,27,10,34,0,0,0,3,4,3,3,9,14,43,3,3,175,494
SSC51624,886,1748,18,108,159,715,35,139,604,2353,815,3316,159,667,181,611,369,1134,702,2411,1523,5725,7,24,33,107,8,22,94,233,135,386,23,63,42,96,104,222,174,386,309,773,21,43,2734,8287
SSC51625,9,18,0,0,0,14,0,0,8,24,9,41,0,3,0,0,0,5,3,10,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,71
SSC51626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51627,9,10,0,0,0,8,0,0,4,13,7,16,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,9,31
SSC51628,3,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SSC51629,81,151,0,3,6,17,7,21,55,200,61,242,3,16,10,32,27,87,40,125,106,374,0,3,4,10,0,6,15,46,25,64,0,0,0,4,5,16,8,17,34,81,3,8,215,610
SSC51630,164,331,4,28,16,66,10,26,73,295,100,418,9,38,12,42,36,117,64,197,164,614,3,11,0,7,0,0,21,59,22,68,10,29,7,11,23,40,35,75,57,145,3,7,385,1098
SSC51631,6,17,0,0,0,9,0,0,6,19,3,20,0,0,0,0,3,6,3,6,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50
SSC51632,4,9,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11,17
SSC51633,13,26,0,0,0,0,0,0,10,40,13,38,0,0,0,0,0,0,0,0,13,40,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,25,69
SSC51634,138,274,6,46,9,45,13,52,59,233,94,377,6,21,7,27,36,109,44,161,135,534,0,0,9,31,0,3,25,66,34,102,3,14,0,3,28,60,34,76,67,182,0,3,347,994
SSC51635,39,70,3,18,6,16,0,4,19,89,26,130,6,22,0,7,10,36,16,64,42,196,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,7,3,7,8,9,0,3,89,278
SSC51636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51637,42,84,0,0,0,3,0,8,20,78,21,90,0,3,0,0,8,20,7,23,28,114,0,0,0,5,0,3,3,10,6,24,0,0,0,0,3,6,3,6,7,30,0,0,85,226
SSC51638,7,7,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,9,19
SSC51639,47,85,0,0,0,20,5,16,35,145,44,177,0,0,0,3,14,43,17,48,55,229,0,0,0,9,8,30,33,93,37,130,0,3,0,0,11,26,10,32,50,153,9,12,158,487
SSC51640,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,7,7,7,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
SSC51641,9,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14
SSC51642,24,39,0,0,0,10,0,0,11,31,8,40,6,13,0,4,4,14,6,28,19,65,0,0,0,4,0,0,0,4,4,8,0,0,3,9,0,4,3,7,5,19,0,0,50,123
SSC51643,314,611,0,3,34,170,11,42,150,591,198,811,14,46,17,56,40,141,73,246,269,1058,3,13,12,30,8,26,44,114,61,192,4,19,5,18,36,71,46,102,105,291,14,24,700,1987
SSC51644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51645,9,23,0,0,3,10,0,7,3,14,6,31,0,0,0,0,0,0,0,0,11,29,0,7,0,0,0,6,3,6,5,18,0,0,0,0,0,0,0,0,8,21,3,12,28,82
SSC51646,13,26,0,0,0,0,0,0,3,18,7,15,0,0,0,0,3,7,3,7,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,3,8,0,0,27,58
SSC51647,142,272,0,7,14,61,0,11,74,284,92,366,8,22,3,20,13,32,21,72,112,433,0,0,0,0,0,0,10,15,10,15,0,0,8,11,9,12,12,21,24,40,0,3,280,745
SSC51648,45,86,0,0,7,20,0,0,23,87,27,110,0,7,4,23,4,16,14,41,46,151,0,0,0,3,0,0,0,5,3,7,0,0,0,0,0,0,0,0,3,7,0,0,91,241
SSC51649,244,470,0,13,33,137,14,58,235,914,279,1127,10,32,35,109,31,102,77,241,354,1364,0,0,14,48,0,9,39,92,52,149,0,7,12,25,16,30,30,66,82,213,9,20,697,2062
SSC51650,849,1656,20,116,92,410,44,213,731,2749,891,3491,40,151,54,173,140,418,231,749,1125,4237,4,24,31,114,12,44,189,519,238,707,8,27,34,75,102,214,142,316,378,1020,18,35,2369,6951
SSC51651,0,5,0,0,0,0,0,0,4,11,4,11,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
