SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC51569,6,7,11,54,47,103,0,0,0,3,3,6,0,0,0,82,75,153,3,0,0,3,3,9,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,3,6,11,3,3,7,0,0,0,0,0,0,5,8,15,3,11,12,0,0,0,162,161,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,51,114,0,0,3,0,0,0,65,57,121,24,416,444,258,643,899
SSC51570,3,4,5,59,60,114,0,0,0,5,12,20,0,0,0,25,24,46,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,7,11,17,0,0,0,0,0,0,4,10,15,0,6,6,0,0,0,111,127,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,91,69,162,0,0,0,0,0,0,92,73,162,19,27,53,227,231,465
SSC51571,0,0,0,9,17,26,0,0,0,0,0,0,0,0,0,7,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,6,0,0,0,27,26,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,31,0,0,0,0,0,0,18,16,31,12,6,15,54,49,100
SSC51572,82,104,183,168,203,370,0,0,0,43,44,85,0,0,0,712,737,1446,9,5,15,150,127,276,31,36,62,3,6,10,8,6,14,24,22,47,27,19,46,49,62,109,25,21,51,0,0,0,12,8,21,19,34,58,98,119,215,0,3,3,1359,1471,2834,206,151,355,285,250,532,7,0,7,0,0,0,63,52,120,9,27,34,76,77,153,765,665,1434,10,7,19,3,9,11,778,685,1465,353,321,677,3143,3058,6203
SSC51573,0,0,3,20,15,36,0,0,0,0,0,0,0,0,0,27,21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,5,8,17,0,0,0,0,0,0,60,49,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,50,0,0,3,0,0,0,32,20,55,20,9,30,119,78,199
SSC51574,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,3,3,0,0,0,12,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,29
SSC51575,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,6,3,5,13,3,15,26,7,32
SSC51576,0,5,10,19,20,35,0,0,0,8,3,4,0,0,0,20,17,43,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,8,11,8,4,9,0,0,0,0,0,0,3,0,3,4,3,12,0,0,0,69,66,128,5,3,8,0,0,0,0,0,0,0,0,0,0,3,5,0,3,8,4,11,9,61,67,133,0,0,0,0,0,0,61,72,131,23,11,28,155,167,319
SSC51577,24,25,48,114,149,263,0,0,0,6,6,19,0,0,0,305,412,720,0,0,0,10,9,19,5,8,13,0,0,0,4,3,9,0,0,0,3,3,5,5,8,14,11,16,25,0,3,3,0,3,3,15,11,24,18,23,46,0,0,4,505,667,1172,4,3,11,6,8,12,4,0,3,0,0,0,8,0,4,8,9,17,12,7,22,647,690,1344,8,7,16,10,3,11,664,707,1369,161,156,314,1383,1573,2960
SSC51578,0,0,0,47,59,103,0,0,0,0,0,0,0,0,0,55,58,117,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,4,0,0,0,0,0,0,11,7,14,4,3,9,0,0,0,124,138,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,71,51,123,3,3,3,0,0,0,73,55,129,22,29,51,222,225,442
