SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50068,160,78,22,5,1133
SSC50069,264,78,23,0,4160
SSC50070,0,0,0,0,0
SSC50071,14,0,0,0,86
SSC50072,0,0,0,0,7
SSC50073,0,0,0,0,5
SSC50074,5,3,0,0,11
SSC50075,54,36,21,3,342
SSC50076,158,23,0,0,1566
SSC50077,38,20,3,0,148
SSC50078,771,462,211,107,5310
SSC50079,348,254,104,31,2066
SSC50080,0,0,0,0,0
SSC50081,158,34,3,0,2147
SSC50082,219,146,79,11,1314
SSC50083,1105,555,323,258,7960
SSC50084,103,58,35,16,653
SSC50085,3,5,0,0,60
SSC50086,434,247,113,33,2619
SSC50087,0,0,0,0,0
SSC50088,3,0,0,0,27
SSC50089,3,0,0,0,20
SSC50090,357,262,120,37,3509
SSC50091,363,198,118,37,2824
SSC50092,247,156,53,8,1380
SSC50093,614,315,106,24,3671
SSC50094,10,6,3,0,59
SSC50095,8,4,0,0,29
SSC50096,3,3,0,0,18
SSC50097,16,5,3,0,64
SSC50098,327,159,54,7,3488
SSC50099,9,0,0,0,15
SSC50100,3,3,3,0,44
SSC50101,19,8,0,0,60
SSC50102,287,112,44,15,1855
SSC50103,37,20,6,0,131
SSC50104,127,59,21,6,696
SSC50105,359,237,130,51,3464
SSC50106,11,5,5,0,86
SSC50107,12,7,8,0,103
SSC50108,0,0,0,0,8
SSC50109,8,12,0,0,60
SSC50110,216,88,23,8,2066
SSC50111,290,312,321,463,4870
SSC50112,130,66,41,3,709
SSC50113,4,0,0,0,13
SSC50114,0,0,0,0,0
SSC50115,172,61,17,3,2580
SSC50116,120,92,67,14,526
SSC50117,523,265,168,81,2952
SSC50118,74,64,21,8,382
SSC50119,618,432,256,173,3702
SSC50120,0,0,0,0,3
SSC50121,36,23,11,0,110
SSC50122,0,0,0,0,6
SSC50123,63,20,9,0,753
SSC50124,0,0,0,0,0
SSC50125,3,0,0,0,23
SSC50126,93,86,44,4,474
SSC50127,0,0,0,0,0
SSC50128,0,0,0,0,0
SSC50129,101,76,12,4,597
SSC50130,5,3,0,0,35
SSC50131,3,9,0,0,27
SSC50132,112,77,89,64,704
SSC50133,8,6,0,0,20
SSC50134,5,3,0,0,27
SSC50135,4,0,0,0,18
SSC50136,0,5,0,3,20
SSC50137,79,33,22,3,492
SSC50138,0,0,0,0,4
SSC50139,0,0,0,0,9
SSC50140,11,5,0,0,43
SSC50141,0,0,0,0,5
SSC50142,19,6,3,0,86
SSC50143,13,0,0,0,92
SSC50144,0,0,0,0,0
SSC50145,15,6,4,0,50
SSC50146,0,3,0,0,14
SSC50147,3,3,0,0,8
SSC50148,459,347,224,128,3072
SSC50149,0,0,3,0,8
SSC50150,0,0,0,0,0
SSC50151,20,22,3,0,58
SSC50152,4,0,0,0,11
SSC50153,3,0,0,0,16
SSC50154,0,0,0,0,0
SSC50155,3,3,0,0,18
SSC50156,5,3,0,0,16
SSC50157,13,10,0,0,59
SSC50158,7,0,0,0,35
SSC50159,289,120,37,6,1901
SSC50160,6,3,0,0,12
SSC50161,103,90,31,3,409
SSC50162,46,26,12,0,223
SSC50163,8,6,0,0,36
SSC50164,5,0,0,0,27
SSC50165,12,8,0,0,44
SSC50166,3,3,0,0,23
SSC50167,0,0,0,0,36
SSC50168,52,59,21,6,364
SSC50169,138,62,13,6,558
SSC50170,0,0,0,0,15
SSC50171,0,0,0,0,10
SSC50172,76,61,33,15,365
SSC50173,65,18,9,0,1690
SSC50174,11,3,3,0,37
SSC50175,7,8,0,0,23
SSC50176,3,0,0,0,20
SSC50177,37,23,21,0,185
SSC50178,131,96,50,23,1101
SSC50179,0,3,0,0,3
SSC50180,317,283,94,33,1432
SSC50181,81,49,15,5,430
SSC50182,3,5,0,0,17
SSC50183,312,305,285,220,2138
SSC50184,51,6,4,0,321
SSC50185,68,43,19,6,515
SSC50186,0,0,0,0,14
SSC50187,111,60,24,3,1064
SSC50188,24,12,7,0,138
SSC50189,40,45,29,21,294
SSC50190,350,152,45,14,2111
SSC50191,6,4,0,0,54
SSC50192,29,8,9,3,117
SSC50193,19,8,0,0,68
