SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC51504,170,343,310,175,263,121,81,98,26,1586
SSC51505,11,0,9,0,4,3,0,0,0,31
SSC51506,247,425,292,256,288,197,138,166,34,2045
SSC51507,35,5,3,5,4,0,4,10,3,62
SSC51508,3,0,6,0,3,4,0,0,3,25
SSC51509,36,3,7,4,7,0,9,6,0,70
SSC51510,168,233,288,151,164,162,136,140,27,1462
SSC51511,564,814,1089,614,758,494,451,674,114,5572
SSC51512,16,3,0,3,0,0,0,3,0,22
SSC51513,15,3,11,4,15,4,11,7,4,77
SSC51514,14,32,11,31,13,12,0,12,0,129
SSC51515,3,0,0,0,0,0,0,7,0,15
SSC51516,13,3,3,0,3,0,3,3,0,23
SSC51517,3,19,12,21,7,8,0,5,11,91
SSC51518,359,509,971,515,542,472,492,590,97,4551
SSC51519,18,3,3,0,0,0,0,6,0,30
SSC51520,127,85,263,134,101,67,204,153,15,1158
SSC51521,7,0,3,0,0,0,0,0,0,13
SSC51522,25,3,3,0,3,0,0,11,0,46
SSC51523,3,0,0,0,4,0,0,0,0,8
SSC51524,45,55,63,42,48,34,22,30,7,350
SSC51525,199,424,297,200,265,171,77,144,23,1807
SSC51526,16,7,4,3,3,5,0,3,0,48
SSC51527,17,0,0,0,0,0,0,0,0,21
SSC51528,164,375,93,90,136,114,33,100,24,1125
SSC51529,17,6,18,4,11,4,14,10,3,82
SSC51530,121,207,54,49,88,64,23,27,3,626
SSC51531,36,9,10,3,6,0,17,12,0,88
SSC51532,10,8,3,0,0,0,0,4,0,26
SSC51533,306,608,567,298,493,244,273,236,33,3051
SSC51534,34,22,58,26,24,8,23,19,7,221
SSC51535,8,0,0,3,3,0,0,0,3,17
SSC51536,11,6,20,11,9,4,3,5,0,74
SSC51537,0,0,0,0,0,0,0,3,0,7
SSC51538,27,11,0,3,8,0,4,7,0,52
SSC51539,17,0,22,3,11,0,17,13,3,92
SSC51540,16,0,0,0,0,0,0,0,0,14
SSC51541,0,0,0,0,0,0,0,0,0,0
SSC51542,391,875,852,572,638,409,422,483,80,4720
SSC51543,0,3,3,0,0,5,3,3,0,23
SSC51544,0,0,0,0,0,0,0,0,0,3
SSC51545,9,15,13,9,5,3,8,3,0,63
SSC51546,17,0,3,0,7,0,5,8,0,37
SSC51547,0,0,3,0,0,0,0,0,0,7
SSC51548,817,2082,515,560,664,449,151,465,62,5764
SSC51549,563,1128,254,226,356,248,42,100,39,2954
SSC51550,18,0,0,4,0,0,0,3,0,25
SSC51551,121,163,124,54,85,84,60,48,21,765
SSC51552,3,0,0,0,0,0,0,0,0,5
SSC51553,310,481,628,424,407,397,279,487,49,3470
SSC51554,0,0,0,0,0,0,0,0,0,0
SSC51555,7,0,0,3,0,0,0,0,0,13
SSC51556,28,15,13,6,7,5,8,10,4,91
