SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC50443,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50444,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC50445,73,0,0,3,0,76,67,0,0,0,0,67,16,0,0,0,0,19,0,0,0,0,0,0,28,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,6,0,50,0,0,0,0,0,0,6,0,0,0,0,6,191,0,0,4,0,202
SSC50446,18,0,0,0,0,19,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,30
SSC50447,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC50448,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,21
SSC50449,20,0,0,0,0,23,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,37
SSC50450,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC50451,481,41,49,0,4,578,423,35,10,0,0,466,156,77,6,0,0,241,14,31,0,0,0,46,122,40,4,0,0,168,3,7,0,0,0,11,11,6,0,0,0,17,11,0,0,0,0,10,312,166,18,0,0,493,5,5,48,0,0,56,28,3,8,0,0,42,1243,254,133,0,3,1636
SSC50452,362,30,0,0,0,399,584,99,0,3,3,688,185,167,4,0,4,364,5,26,0,0,0,33,131,55,0,0,0,186,0,3,0,0,0,4,21,9,0,0,0,25,8,0,0,0,0,8,355,261,4,0,4,616,5,3,0,0,0,4,26,15,0,0,0,36,1321,408,3,3,7,1743
SSC50453,82,0,4,16,3,98,90,0,3,0,4,93,17,0,7,0,0,26,27,0,0,0,0,24,18,3,3,0,0,23,0,0,0,0,0,0,10,0,0,3,0,14,4,0,0,0,0,4,80,7,9,6,0,99,0,0,0,0,0,0,11,0,0,0,0,10,263,5,14,17,5,301
SSC50454,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC50455,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50456,795,186,52,3,0,1043,767,136,98,0,0,1004,125,97,120,4,3,354,12,23,20,0,0,55,64,56,38,4,0,159,0,0,4,0,0,3,0,5,4,0,0,18,8,0,4,0,0,12,211,184,196,7,3,603,3,0,3,0,0,4,33,15,9,0,0,60,1809,528,361,12,5,2712
SSC50457,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC50458,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,20,0,0,3,0,16
SSC50459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50461,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC50462,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC50463,46,119,505,0,0,679,29,111,876,0,0,1021,18,71,1803,3,0,1891,0,21,184,0,0,209,22,34,445,3,3,502,3,0,33,0,0,40,3,0,55,0,0,63,3,3,27,0,0,25,46,125,2542,8,4,2727,3,0,15,0,0,20,3,3,76,0,3,91,128,362,4018,13,7,4525
SSC50464,51,0,0,0,0,52,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,6,81,0,0,0,0,82
SSC50465,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC50466,31,0,0,78,0,105,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,0,0,14,0,24,0,0,0,0,0,0,8,0,0,23,0,28,0,0,0,0,0,0,0,0,0,6,0,8,41,0,0,106,0,151
SSC50467,620,90,61,0,0,770,1002,156,180,0,0,1343,433,207,266,0,4,917,86,71,44,0,0,200,256,102,76,0,3,435,3,0,4,0,0,3,16,12,3,0,0,34,8,0,3,0,0,15,803,390,398,0,9,1605,10,6,0,0,0,14,48,24,20,0,0,94,2480,672,651,3,13,3819
SSC50468,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,15,0,0,0,0,15
SSC50469,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,3,13
SSC50470,21,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,45,0,0,0,0,45
SSC50471,801,62,0,23,0,888,1224,33,0,0,0,1259,327,55,0,0,5,390,19,12,0,0,0,35,221,25,0,0,0,247,5,0,0,0,0,11,21,0,0,5,0,30,8,0,0,0,0,4,609,96,0,7,9,719,59,21,0,0,0,80,52,5,0,0,0,63,2748,213,0,37,6,3008
SSC50472,386,50,5,0,0,435,464,66,0,0,0,529,96,34,0,0,0,125,26,17,0,0,0,43,93,23,0,0,0,118,0,0,0,0,0,0,10,0,0,0,0,5,3,0,0,0,0,3,223,73,0,0,0,294,3,0,0,0,0,4,19,4,0,0,0,27,1100,188,4,0,0,1290
SSC50473,541,16,0,0,0,553,758,17,0,0,0,778,120,4,0,0,0,126,3,14,0,0,0,20,102,4,0,0,0,106,0,3,0,0,0,3,4,0,0,0,0,8,5,0,0,0,0,5,230,33,0,0,0,269,0,0,0,0,0,0,23,0,0,0,0,27,1563,61,0,0,0,1623
SSC50474,9,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC50475,23,5,0,0,0,25,299,103,0,0,0,408,64,32,0,0,0,96,0,0,0,0,0,0,11,11,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,44,0,0,0,117,3,0,0,0,0,3,12,0,0,0,0,9,415,152,0,0,0,566
SSC50476,0,0,0,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,3,0,0,0,0,3,8,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,3,15,0,0,25,0,39
SSC50477,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC50478,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50479,17,0,0,0,0,17,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,43,0,0,0,0,44
SSC50480,60,0,0,0,0,61,48,0,0,0,0,48,6,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,128
SSC50481,617,299,0,0,0,922,4120,317,10,0,0,4443,685,165,81,0,0,932,172,80,10,0,0,257,337,43,3,0,0,384,11,3,0,0,0,18,62,0,0,0,0,60,8,0,3,0,0,11,1271,295,94,0,0,1659,18,12,0,0,0,24,108,23,3,0,3,134,6138,939,108,0,3,7186
SSC50482,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC50483,265,17,0,0,5,288,389,41,3,3,4,436,155,20,0,0,0,179,38,17,0,0,0,57,103,19,0,0,0,121,0,4,0,0,0,4,6,4,0,0,0,13,3,0,0,0,0,3,312,63,0,0,0,379,3,0,0,0,0,6,24,3,0,0,0,29,996,128,3,3,9,1140
SSC50484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SSC50485,39,6,0,7,0,56,11,0,0,0,0,10,13,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,3,23,3,0,5,0,26,0,0,0,0,0,0,4,0,0,0,0,4,77,9,0,11,0,100
SSC50486,21,0,0,0,0,24,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,6,5,0,0,0,0,5,18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,57
SSC50487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50488,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC50489,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50490,564,295,41,0,0,900,457,37,9,0,3,502,128,68,8,0,0,209,4,20,3,0,0,26,59,7,26,0,0,99,3,4,30,0,0,31,3,4,19,0,0,29,0,0,10,0,0,12,207,114,92,0,0,413,10,14,117,0,0,136,30,21,19,0,0,74,1261,469,284,0,5,2018
SSC50491,212,52,3,0,3,265,129,11,0,3,0,140,82,64,3,0,0,144,14,48,5,0,3,69,90,37,6,0,0,137,4,39,0,0,0,38,6,16,0,0,0,23,12,5,0,0,0,15,210,206,12,0,3,429,3,10,0,0,0,12,17,23,0,0,0,46,569,296,18,4,8,890
SSC50492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50493,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,12,12,0,0,0,3,18
SSC50494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50495,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC50496,143,0,0,24,0,166,264,0,0,0,0,263,139,10,0,0,0,152,89,0,0,0,0,89,51,5,0,0,0,58,0,0,0,0,0,0,67,3,0,4,0,73,9,0,0,0,0,9,362,12,0,3,0,384,3,0,0,0,0,6,19,31,0,3,0,53,792,44,0,35,6,873
SSC50497,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,3,0,10
SSC50498,6,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14
SSC50499,730,34,0,19,3,791,602,22,0,0,0,632,270,43,0,0,3,310,0,4,0,0,0,8,173,22,0,0,0,204,0,5,0,0,0,5,15,3,0,0,0,13,8,0,0,0,0,15,467,79,0,0,5,552,21,0,0,0,0,21,42,0,0,0,0,44,1866,133,0,22,5,2034
SSC50500,45,0,0,0,0,45,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,82
SSC50501,539,52,0,0,0,596,579,80,0,0,0,661,129,39,0,0,0,167,10,29,0,0,0,38,106,35,0,0,0,138,0,4,0,0,0,9,3,4,0,0,0,9,4,0,0,0,0,6,251,112,0,0,0,361,6,20,0,0,0,23,28,4,0,0,0,31,1401,268,0,0,0,1669
SSC50502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50506,0,0,0,5,0,10,4,0,0,0,0,3,0,5,0,0,0,3,155,0,46,0,0,202,0,0,0,3,0,5,11,0,0,0,0,13,30,5,26,4,3,70,0,0,4,0,0,8,194,12,68,18,5,297,0,0,0,0,0,4,7,0,4,7,0,20,211,13,73,33,3,332
SSC50507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50508,1029,26,14,0,0,1073,1059,29,15,0,0,1107,156,19,8,0,0,182,0,0,0,0,0,0,112,3,3,0,0,123,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,276,28,12,0,0,313,7,0,0,0,0,7,31,0,0,0,0,34,2409,81,48,0,0,2532
SSC50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50510,34,0,0,0,3,39,19,0,0,0,0,19,8,0,0,0,0,8,0,0,0,0,0,0,21,0,0,0,4,21,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,31,0,0,0,4,37,3,0,0,0,0,3,0,0,0,0,0,3,93,0,0,0,9,100
SSC50511,9,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC50512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50513,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50515,118,0,0,0,0,117,152,0,0,3,0,155,25,0,0,0,0,26,0,0,0,0,0,0,35,0,0,0,0,33,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,0,0,4,70,0,0,3,0,73,3,0,0,0,0,3,6,0,0,0,0,6,356,0,0,3,0,366
SSC50516,1178,99,0,49,0,1328,2005,84,0,0,0,2097,413,60,0,0,0,472,80,58,0,0,0,135,322,41,0,0,3,365,0,10,0,0,0,10,21,3,0,5,0,29,17,0,0,0,0,18,851,171,0,5,7,1035,10,101,0,3,0,111,87,12,0,3,0,105,4137,477,0,59,8,4674
SSC50517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13
SSC50518,45,0,0,0,0,45,26,0,0,0,0,26,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,18,3,0,0,0,0,6,41,0,0,0,0,43,3,0,0,0,0,3,5,0,0,0,0,5,117,0,0,0,0,120
SSC50519,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
SSC50520,543,283,84,3,9,922,507,283,110,3,9,908,158,287,245,0,0,691,15,197,108,0,0,319,129,120,95,0,3,348,3,13,7,0,0,21,9,15,3,0,3,30,13,4,6,0,0,26,323,636,464,0,8,1428,9,3,5,0,0,20,34,26,31,0,3,97,1415,1234,700,10,24,3380
SSC50521,88,107,0,44,0,243,97,4,0,0,0,101,24,11,0,0,0,35,0,0,0,0,0,0,28,14,0,0,0,45,0,0,0,0,0,0,4,0,0,16,0,26,0,0,0,0,0,3,60,30,0,22,0,109,0,0,0,0,0,0,3,0,0,7,0,10,253,146,0,69,3,469
SSC50522,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC50523,105,0,0,3,0,107,123,0,0,0,0,123,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,6,245,0,0,3,0,253
SSC50524,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,21
SSC50525,20,0,0,0,0,20,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42
