SSC_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SSC50011,11,0,0,0,0,15,4,0,0,0,0,6,6,0,0,0,0,10,10,0,0,0,0,10,11,0,0,0,0,11,62,3,0,0,0,63,191,11,0,0,0,209,452,13,0,0,0,470,395,0,0,0,0,397,134,0,0,0,0,130,31,0,0,0,0,31,41,0,0,0,0,37,1354,36,0,0,3,1396
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50013,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,7,11,0,0,0,0,11,19,0,0,0,0,21,24,0,0,0,0,24,9,0,0,0,0,9,9,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,111,0,0,0,0,118
SSC50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,8,0,0,0,0,14,16,0,0,0,0,17,10,0,0,0,0,10,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,76,0,0,3,0,80
SSC50017,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,41,14,3,0,0,60,9,0,3,0,0,12,14,0,0,0,0,16,7,7,0,0,0,13,3,6,0,0,0,11,25,14,10,0,0,46,20,15,7,0,0,40,41,18,11,0,0,68,22,13,9,0,0,48,51,26,10,0,0,86,193,24,5,0,0,227,29,8,3,0,0,37,458,141,53,0,3,658
SSC50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50024,37,5,0,0,0,42,9,3,0,0,0,10,8,0,0,0,0,8,4,4,0,0,0,8,11,5,0,0,0,12,23,12,0,0,0,33,27,16,0,0,0,39,67,14,0,0,0,80,38,8,0,0,0,51,82,18,0,0,0,100,90,17,0,0,0,104,18,3,0,0,0,18,406,109,0,0,0,513
SSC50025,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,11,0,0,0,0,11,15,0,0,0,0,15,23,0,0,0,0,20,13,0,0,0,0,13,11,0,0,0,0,11,3,0,0,0,0,3,10,0,0,0,0,10,96,0,0,0,0,100
SSC50026,69,3,3,0,0,75,58,6,0,0,0,63,48,13,0,0,0,59,74,14,0,0,0,85,100,19,0,0,0,125,336,56,9,0,3,400,397,77,0,0,3,478,209,30,4,0,0,244,37,3,0,0,0,38,36,12,0,0,0,47,11,3,0,0,0,17,51,8,3,0,0,60,1425,236,28,0,8,1696
SSC50027,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50030,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC50031,15,7,0,0,0,17,3,0,0,0,0,10,0,0,0,0,0,0,10,3,0,0,0,7,15,0,0,0,0,13,26,4,0,0,0,32,29,3,3,0,0,40,55,15,5,0,0,72,29,11,0,0,0,42,48,6,0,0,0,53,40,7,0,0,0,49,16,3,0,0,0,15,269,70,16,0,0,358
SSC50032,20,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,5,3,0,0,0,9,33,0,0,0,0,34,56,3,0,0,0,65,128,9,0,0,0,134,99,0,0,0,0,99,34,7,0,0,0,33,11,0,0,0,0,11,14,0,0,0,0,15,416,21,0,0,0,434
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50034,9,0,0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,8,0,0,0,0,8,20,0,0,0,0,20,30,0,0,0,0,33,51,3,0,0,0,48,14,0,0,0,0,20,13,0,0,0,0,12,7,0,0,0,0,7,3,0,0,0,0,3,168,8,0,0,0,173
SSC50035,36,11,0,0,0,48,7,4,0,0,0,14,3,3,0,0,0,6,15,0,0,0,0,15,14,3,3,0,0,15,40,4,0,0,0,54,51,16,3,0,0,63,84,29,3,0,0,118,51,16,0,0,0,68,100,25,0,0,0,122,162,12,0,0,0,176,37,7,0,0,0,43,606,126,17,0,0,749
SSC50036,50,0,0,0,0,54,27,0,0,0,0,27,27,0,0,0,0,27,37,0,0,0,0,37,56,0,0,0,0,56,177,3,0,0,0,184,213,3,0,0,0,218,421,8,0,0,0,428,276,3,0,0,0,279,213,3,0,0,0,217,75,0,0,0,0,77,46,4,0,0,0,49,1636,31,0,0,0,1666
SSC50037,35,7,0,0,0,39,7,0,0,0,0,8,7,0,0,0,0,9,19,0,0,0,0,17,17,3,0,0,0,22,70,16,0,0,0,86,108,20,0,0,0,130,336,48,0,0,0,382,246,26,0,0,0,272,168,10,0,0,0,185,55,3,0,0,0,64,32,3,0,0,0,33,1095,136,0,0,0,1230
SSC50038,7,0,0,0,0,7,6,0,0,0,0,6,6,0,0,0,0,5,7,0,0,0,0,7,8,0,0,0,0,8,14,0,0,0,0,13,20,0,0,0,0,20,15,0,0,0,0,15,9,0,0,0,0,9,9,0,0,0,0,9,5,0,0,0,0,5,8,0,0,0,0,8,110,0,0,4,0,116
SSC50039,69,5,0,0,0,75,31,0,0,0,0,29,34,0,0,0,0,29,71,0,0,0,0,71,97,0,0,0,0,99,274,3,0,0,0,279,506,3,0,0,0,510,736,7,0,0,0,740,269,0,0,0,0,269,144,0,0,0,0,147,56,0,0,0,0,56,78,0,0,0,0,78,2352,22,3,0,0,2382
SSC50040,32,8,0,0,0,42,15,7,0,0,0,17,13,3,0,0,0,14,15,3,0,0,0,24,28,3,0,0,0,27,107,18,0,0,0,126,248,51,0,0,0,299,753,120,0,0,0,876,498,38,0,0,0,537,183,10,0,0,0,196,57,4,0,0,0,64,68,7,0,0,0,78,2009,283,0,0,3,2295
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50048,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50051,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,17,0,0,0,0,17,24,0,0,0,0,27,35,0,0,3,0,39,53,0,0,0,0,53,30,0,0,0,0,30,13,0,0,0,0,13,5,0,0,0,0,5,6,0,0,0,0,6,211,0,0,0,0,216
SSC50052,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,24
SSC50053,46,19,0,0,0,68,13,11,0,0,0,24,17,7,0,0,0,25,22,22,0,0,0,48,15,29,0,0,0,47,80,79,0,0,0,161,90,118,0,0,5,219,110,183,3,0,0,302,79,91,0,0,0,178,100,42,0,0,0,136,40,15,0,0,0,57,31,18,0,0,0,48,651,642,5,0,3,1309
SSC50054,99,4,0,0,0,103,42,3,0,0,0,43,35,0,0,0,0,32,66,0,0,0,0,65,98,3,0,0,0,101,394,12,0,0,3,405,790,47,0,0,0,833,2270,37,0,3,4,2314,1118,0,0,3,7,1130,496,3,0,0,3,499,214,0,0,3,0,220,173,0,0,0,0,174,5793,109,0,3,18,5920
SSC50055,47,20,0,0,0,62,22,19,0,0,0,34,12,6,0,0,0,22,30,10,0,0,0,41,46,15,0,0,0,65,91,126,6,0,3,228,169,243,8,0,0,417,209,265,15,0,4,495,62,42,0,0,0,99,25,23,0,0,0,48,17,17,0,0,0,28,34,25,0,0,0,61,760,812,38,0,4,1615
SSC50056,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,4,15,0,0,0,0,15,11,0,0,0,0,12,10,0,0,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,6,70
SSC50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,147,3,0,0,0,147,67,3,0,0,0,66,71,3,0,0,0,74,106,3,0,0,0,110,148,3,0,0,0,151,437,14,0,0,0,452,489,13,0,0,0,499,801,14,0,0,0,818,365,0,0,0,0,364,210,3,0,0,0,211,91,0,0,0,0,95,127,5,0,0,0,133,3059,67,0,0,0,3122
SSC50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50063,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11
SSC50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,17,0,0,0,0,16,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,45,0,0,0,0,47
SSC50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50068,12,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,10,24,0,0,0,0,26,33,0,0,0,0,33,74,0,0,0,0,74,62,0,0,0,0,62,39,0,0,0,0,39,44,0,0,0,0,44,17,0,0,0,0,17,323,0,0,0,0,327
SSC50069,28,3,0,0,0,37,9,0,0,0,0,10,19,0,0,0,0,21,25,3,0,0,0,31,37,0,0,0,0,33,154,13,0,0,0,171,300,43,0,0,0,341,799,46,0,0,0,845,391,6,0,0,0,396,101,4,0,0,0,106,37,3,0,0,0,36,50,3,0,0,0,54,1961,123,0,0,0,2087
