SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC50128,0,0,0,0,0,0,0,0
SSC50129,121,7,11,3,0,0,3,138
SSC50130,6,0,0,0,0,0,0,8
SSC50131,13,4,0,0,0,0,0,11
SSC50132,92,15,3,0,0,0,0,110
SSC50133,9,0,0,0,0,0,0,10
SSC50134,5,0,0,0,0,0,0,6
SSC50135,3,0,0,0,0,0,0,3
SSC50136,8,0,0,0,0,0,0,8
SSC50137,124,15,13,0,0,0,5,151
SSC50138,4,0,0,0,0,0,0,3
SSC50139,0,0,0,0,0,0,0,0
SSC50140,17,3,0,0,0,0,0,18
SSC50141,12,0,0,0,0,0,0,12
SSC50142,16,0,0,0,0,0,0,19
SSC50143,19,0,0,0,0,0,0,24
SSC50144,0,0,0,0,0,0,0,0
SSC50145,18,0,0,0,0,0,0,18
SSC50146,4,0,0,0,0,0,0,4
SSC50147,0,0,0,0,0,0,0,0
SSC50148,685,42,15,6,0,0,0,748
SSC50149,0,0,0,0,0,0,0,0
SSC50150,0,0,0,0,0,0,0,0
SSC50151,7,0,0,0,0,0,0,7
SSC50152,3,0,0,0,0,0,0,3
SSC50153,3,0,0,0,0,0,0,3
SSC50154,0,0,0,0,0,0,0,0
SSC50155,8,0,0,0,0,0,0,8
SSC50156,3,0,0,0,0,0,0,3
SSC50157,5,0,0,0,0,0,0,8
SSC50158,5,0,0,0,0,0,0,5
SSC50159,441,42,36,14,0,0,0,531
SSC50160,5,0,0,0,0,0,0,5
SSC50161,53,15,7,0,0,0,4,70
SSC50162,66,4,0,0,0,0,0,68
SSC50163,5,0,0,0,0,0,0,10
SSC50164,11,0,0,0,0,0,0,8
SSC50165,9,0,0,0,0,0,0,10
SSC50166,3,0,0,0,0,0,0,3
SSC50167,14,0,0,0,0,0,0,14
SSC50168,83,3,0,0,0,0,0,86
SSC50169,129,10,3,0,0,0,3,147
SSC50170,5,0,0,0,0,0,0,5
SSC50171,6,0,0,0,0,0,0,8
SSC50172,64,3,3,0,0,0,0,77
SSC50173,416,37,15,8,0,0,0,478
SSC50174,5,0,0,0,0,0,0,5
SSC50175,5,0,0,0,0,0,0,5
SSC50176,3,0,3,0,0,0,0,6
SSC50177,17,6,0,0,0,0,0,24
SSC50178,222,9,7,0,0,0,3,235
SSC50179,0,0,0,0,0,0,0,0
SSC50180,206,16,6,3,0,0,3,232
SSC50181,104,8,0,0,0,0,0,115
SSC50182,4,0,0,0,0,0,0,4
SSC50183,354,38,20,3,0,0,3,415
SSC50184,119,11,3,0,0,0,0,131
SSC50185,75,3,3,5,0,0,4,92
SSC50186,0,0,0,0,0,0,0,0
SSC50187,268,37,29,6,0,0,3,342
SSC50188,27,0,0,0,0,0,0,28
SSC50189,63,3,3,0,0,0,0,71
SSC50190,225,30,17,5,0,4,4,277
SSC50191,19,0,0,0,0,0,0,19
SSC50192,14,4,0,0,0,0,0,22
SSC50193,13,0,0,0,0,0,0,21
SSC50194,0,0,0,0,0,0,0,0
SSC50195,9,0,0,0,0,0,0,13
SSC50196,54,4,3,0,0,0,0,66
SSC50197,97,18,5,0,0,0,0,128
SSC50198,3,0,0,0,0,0,0,3
SSC50199,4,0,0,0,0,0,0,4
SSC50200,266,19,6,8,0,0,0,297
SSC50201,974,57,21,9,0,0,3,1068
SSC50202,0,0,0,0,0,0,0,0
SSC50203,10,0,0,0,0,0,0,16
SSC50204,14,0,0,0,0,0,0,13
SSC50205,3,0,0,0,0,0,0,3
SSC50206,0,0,0,0,0,0,0,0
SSC50207,540,55,41,5,0,0,0,649
SSC50208,0,0,0,0,0,0,0,0
SSC50209,6,0,0,0,0,0,0,3
SSC50210,248,25,6,3,0,0,0,283
SSC50211,0,0,0,0,0,0,0,0
SSC50212,7,0,0,0,0,0,0,7
SSC50213,9,0,0,0,0,0,0,5
SSC50214,4,0,0,0,0,0,0,4
SSC50215,3,0,0,0,0,0,0,3
SSC50216,0,0,0,0,0,0,0,0
SSC50217,98,3,3,3,0,0,0,110
SSC50218,0,0,0,0,0,0,0,0
SSC50219,3,0,0,0,0,0,0,3
SSC50220,0,0,0,0,0,0,0,0
SSC50221,579,41,18,8,0,0,0,639
SSC50222,42,0,3,0,0,0,0,40
SSC50223,10,0,0,0,0,0,0,10
SSC50224,4,0,0,0,0,0,0,4
SSC50225,0,0,0,0,0,0,0,0
SSC50226,147,17,3,0,0,0,0,165
SSC50227,107,13,11,0,0,0,3,128
SSC50228,1488,120,117,12,5,3,9,1757
SSC50229,1768,174,144,25,6,3,18,2130
SSC50230,464,32,27,7,3,3,10,543
SSC50231,6,0,0,0,0,0,0,6
SSC50232,0,0,0,0,0,0,0,0
SSC50233,17,0,0,0,0,0,0,20
SSC50234,137,16,6,5,0,0,0,165
SSC50235,3,0,0,0,0,0,0,3
SSC50236,3,0,0,0,0,0,0,3
SSC50237,57,4,4,8,0,0,6,74
SSC50238,0,0,0,0,0,0,0,0
SSC50239,396,53,38,11,0,0,6,499
SSC50240,3,0,0,0,0,0,0,8
SSC50241,0,0,0,0,0,0,0,0
SSC50242,10,0,0,0,0,0,0,9
SSC50243,4,0,0,0,0,0,0,4
SSC50244,4752,230,112,79,8,3,17,5189
SSC50245,522,25,11,9,0,0,0,569
SSC50246,0,0,0,0,0,0,0,0
SSC50247,39,5,0,0,0,0,0,48
SSC50248,0,0,0,0,0,0,0,0
SSC50249,0,0,0,0,0,0,0,0
SSC50250,213,22,18,3,3,0,3,261
SSC50251,11,0,0,0,0,0,0,18
SSC50252,0,0,0,0,0,0,0,0
SSC50253,0,0,0,0,0,0,0,0
SSC50254,52,3,3,0,0,0,0,59
SSC50255,3,0,0,0,0,0,0,3
SSC50256,0,0,0,0,0,0,0,0
SSC50257,11,0,0,0,0,0,0,13
SSC50258,9,0,0,0,0,0,0,15
SSC50259,153,11,7,3,0,0,0,170
